Jahr;OPS_Code;Beschreibung;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
2021;OPS-1-992;    Genmut.- u.Genexpressionsanalysen b. bösart. Neub.;5;11;9;6;12;7;28;51;80;69;99;123;264;512;625;738;628;569;493;131;22;2;4484;4;8;13;14;15;5;28;51;63;123;155;256;471;565;706;655;689;602;533;208;38;9;5211;9;19;22;20;27;12;56;102;143;192;254;379;735;1077;1331;1393;1317;1171;1026;339;60;11;9695
2021;OPS-1-993;    Autom.Anreicherung m.immunzytochem.Detektion (CTC);-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;3;4;2;-;2;-;-;16;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;4;3;4;6;2;-;-;21;-;-;-;-;-;-;-;1;-;-;-;-;1;3;2;7;7;6;6;4;-;-;37
2021;OPS-1-994;    In-vitro-Best.d.Genexpressionsprofils mittels RNA;-;-;-;-;-;1;-;1;-;1;3;2;4;7;16;9;9;2;1;-;-;-;56;-;-;-;-;-;-;1;1;3;2;-;-;1;4;3;7;3;1;2;-;-;-;28;-;-;-;-;-;1;1;2;3;3;3;2;5;11;19;16;12;3;3;-;-;-;84
2021;OPS-1-995;    (Gezielte) Analyse genet. Veränd. in sol.bösart.NB;-;3;7;2;1;-;5;9;11;28;9;20;56;99;135;152;157;104;94;25;6;1;924;1;4;1;1;3;2;5;6;9;20;21;35;59;93;108;107;119;99;92;26;6;-;817;1;7;8;3;4;2;10;15;20;48;30;55;115;192;243;259;276;203;186;51;12;1;1741
2021;OPS-1-996;    Hochdurchsatz-Sequenzierungsverfahren (NGS);1;2;3;-;3;-;2;5;6;9;7;10;28;32;33;45;47;28;24;7;-;-;292;-;-;-;1;1;1;1;3;4;9;11;15;24;33;35;42;36;23;27;6;-;-;272;1;2;3;1;4;1;3;8;10;18;18;25;52;65;68;87;83;51;51;13;-;-;564
2021;OPS-1-999;    Zusatzinformationen zu diagnostischen Maßnahmen;10;41;53;109;166;235;711;712;899;1008;1288;1593;2541;3867;4196;4560;4543;4399;4874;2485;862;150;39302;8;37;42;109;193;365;1008;1351;1762;1367;1242;1439;2268;2778;3065;3320;3663;4233;5638;3425;1762;517;39592;18;78;95;218;359;600;1719;2063;2661;2375;2530;3032;4809;6645;7261;7880;8206;8632;10512;5910;2624;667;78894
2021;OPS-3;Bildgebende Diagnostik;21896;22398;20435;26176;31593;32894;96735;109743;147168;173039;207814;263873;454131;681471;797898;846857;869436;846763;959900;479726;148800;22847;7261701;16936;17364;15644;26891;30745;28916;87741;102899;137533;152799;181551;221460;355054;472389;545543;617730;683702;792325;1085507;677343;284996;71195;6606267;38832;39762;36079;53067;62338;61810;184476;212642;284701;325838;389365;485333;809185;1153860;1343441;1464587;1553138;1639088;2045407;1157069;433796;94042;13867968
2021;OPS-3-03--3-05;  Ultraschalluntersuchungen;6958;1313;936;1027;1005;1186;4385;6457;10455;14424;19718;28679;53724;83715;98852;106316;110650;105376;112320;47947;11296;1341;828080;5919;1380;820;1294;2020;2797;10803;16997;23472;19736;18066;21173;34026;47379;56958;68788;81386;93098;119138;61786;18952;3475;709464;12877;2693;1756;2321;3025;3983;15188;23454;33927;34160;37784;49852;87750;131094;155810;175104;192036;198474;231458;109733;30248;4816;1537544
2021;OPS-3-030;    Komplexe Sonographie mit Kontrastmittel;71;24;17;17;23;41;127;219;371;500;669;1063;1929;2936;3418;3569;3568;3156;3323;1220;256;24;26541;46;35;21;19;23;46;206;253;381;496;659;829;1407;1868;2070;2310;2508;2610;3000;1360;330;53;20530;117;59;38;36;46;87;333;472;752;996;1328;1892;3336;4804;5488;5879;6076;5766;6323;2580;586;77;47071
2021;OPS-3-031;    Komplexe transthorakale Stress-Echokardiographie;1;1;1;3;7;19;80;121;227;345;539;676;1186;1551;1686;1622;1831;1674;1761;713;135;5;14184;2;-;1;3;6;15;49;64;113;184;309;464;718;1067;1176;1338;1466;1557;1918;741;121;15;11328;3;1;2;6;13;34;129;185;340;529;848;1140;1904;2618;2862;2960;3297;3231;3679;1454;256;20;25512
2021;OPS-3-032;    Kompl.sonogr.Erkrankungs-/Fehlbildungsdiagn.,Feten;284;3;3;5;1;-;1;1;-;1;1;3;1;2;4;3;5;4;6;-;-;-;328;170;5;2;12;9;8;68;138;246;163;35;6;1;2;3;5;3;4;6;3;1;-;890;454;8;5;17;10;8;69;139;246;164;36;9;2;4;7;8;8;8;12;3;1;-;1218
2021;OPS-3-033;    Komplexe Sonographie bei Neugeb. und Kleinkindern;3801;398;169;118;65;9;9;2;3;2;3;4;3;1;5;2;4;1;1;-;-;-;4600;3349;437;155;169;114;3;4;5;5;3;2;2;2;5;2;1;4;2;4;1;-;1;4270;7150;835;324;287;179;12;13;7;8;5;5;6;5;6;7;3;8;3;5;1;-;1;8870
2021;OPS-3-034;    Kompl. Sonographie mittels TDI u.Speckle Tracking;526;121;109;131;129;160;524;619;871;1113;1507;2129;3725;5653;6451;6891;6976;6930;8359;4207;1251;186;58568;466;116;62;122;169;175;480;504;740;838;1012;1315;2221;2996;3713;4397;5131;6042;9070;5735;2318;528;48150;992;237;171;253;298;335;1004;1123;1611;1951;2519;3444;5946;8649;10164;11288;12107;12972;17429;9942;3569;714;106718
2021;OPS-3-035;    Komplexe Sonographie des Gefäßsystems;1692;359;283;381;307;322;1050;1371;1983;2848;3839;5380;10468;16745;20583;22701;23991;24080;28455;14370;4402;619;186229;1417;341;259;427;608;721;3056;5351;7831;5565;3898;4282;6709;9623;11830;14528;17498;21703;31594;20295;8531;1887;177954;3109;700;542;808;915;1043;4106;6722;9814;8413;7737;9662;17177;26368;32413;37229;41489;45783;60049;34665;12933;2506;364183
2021;OPS-3-036;    Komplexe Sonographie bei Weichteiltumoren;54;52;66;58;36;13;62;47;53;66;50;81;109;174;182;160;137;176;227;89;22;6;1920;27;49;36;81;73;23;49;76;107;117;154;203;348;336;353;391;291;270;275;125;46;14;3444;81;101;102;139;109;36;111;123;160;183;204;284;457;510;535;551;428;446;502;214;68;20;5364
2021;OPS-3-050;    Endosonographie von Mundhöhle und Hypopharynx;-;-;-;-;3;2;4;8;10;12;13;20;36;55;61;50;49;35;25;13;3;-;399;2;-;-;1;2;3;7;5;15;14;12;15;22;26;28;31;29;32;28;21;3;-;296;2;-;-;1;5;5;11;13;25;26;25;35;58;81;89;81;78;67;53;34;6;-;695
2021;OPS-3-051;    Endosonographie des Ösophagus;-;-;1;-;10;12;44;119;186;215;327;501;1031;1558;1848;1994;1938;1694;1645;581;100;7;13811;-;-;1;7;20;26;97;119;168;196;238;320;590;876;1011;1136;1323;1281;1374;594;133;20;9530;-;-;2;7;30;38;141;238;354;411;565;821;1621;2434;2859;3130;3261;2975;3019;1175;233;27;23341
2021;OPS-3-052;    Transösophageale Echokardiographie (TEE);499;321;240;185;180;218;871;1223;2466;3673;5664;9157;18319;29949;35444;38183;40524;39125;40130;15938;2894;231;285434;421;365;243;161;148;186;624;906;1452;1924;2933;4064;7201;11474;15312;21329;27394;34156;42139;19425;3974;421;196252;920;686;483;346;328;404;1495;2129;3918;5597;8597;13221;25520;41423;50756;59512;67918;73281;82269;35363;6868;652;481686
2021;OPS-3-053;    Endosonographie des Magens;-;-;5;4;14;24;84;173;264;348;468;688;1246;1835;2166;2209;2209;2078;2124;823;142;12;16916;-;-;4;11;26;52;145;199;288;328;404;493;948;1275;1475;1651;1886;1894;2254;940;216;28;14517;-;-;9;15;40;76;229;372;552;676;872;1181;2194;3110;3641;3860;4095;3972;4378;1763;358;40;31433
2021;OPS-3-054;    Endosonographie des Duodenums;-;-;3;8;18;35;137;254;423;507;647;857;1425;1991;2179;2310;2396;2149;2408;984;203;26;18960;-;-;3;10;35;80;280;388;528;563;596;753;1215;1634;1866;2000;2300;2420;2974;1382;379;60;19466;-;-;6;18;53;115;417;642;951;1070;1243;1610;2640;3625;4045;4310;4696;4569;5382;2366;582;86;38426
2021;OPS-3-055;    Endosonographie der Gallenwege und der Leber;5;-;8;36;60;117;511;773;1304;1710;2040;2634;4116;5651;6041;6433;6476;6202;6859;2926;694;90;54686;6;6;6;59;107;251;978;1396;1814;1848;1987;2445;3980;5171;5585;5970;6862;7007;8964;4495;1294;204;60435;11;6;14;95;167;368;1489;2169;3118;3558;4027;5079;8096;10822;11626;12403;13338;13209;15823;7421;1988;294;115121
2021;OPS-3-056;    Endosonographie des Pankreas;-;-;9;37;67;99;429;669;1042;1496;1878;2432;3892;5231;5668;5820;5822;5358;5753;2288;497;60;48547;-;-;6;46;95;176;689;976;1318;1360;1539;1878;3207;4346;4749;5292;5996;6138;7479;3442;889;126;49747;-;-;15;83;162;275;1118;1645;2360;2856;3417;4310;7099;9577;10417;11112;11818;11496;13232;5730;1386;186;98294
2021;OPS-3-057;    Endosonographie des Kolons;-;1;-;-;2;2;4;3;1;8;6;7;22;42;39;47;34;33;45;8;2;-;306;-;-;-;1;-;1;3;5;5;10;10;18;18;28;20;32;24;30;24;21;5;-;255;-;1;-;1;2;3;7;8;6;18;16;25;40;70;59;79;58;63;69;29;7;-;561
2021;OPS-3-058;    Endosonographie des Rektums;-;-;-;6;19;24;113;140;194;233;277;293;549;729;788;789;757;627;663;213;53;2;6469;-;2;1;3;4;13;79;116;168;159;211;236;359;479;448;442;469;452;499;224;46;10;4420;-;2;1;9;23;37;192;256;362;392;488;529;908;1208;1236;1231;1226;1079;1162;437;99;12;10889
2021;OPS-3-059;    Endosonographie der Bauchhöhle;-;-;-;-;2;1;2;-;4;8;6;20;32;50;60;54;66;53;33;15;3;-;409;-;-;-;1;1;-;2;3;11;15;12;12;23;33;27;36;35;28;34;9;7;-;289;-;-;-;1;3;1;4;3;15;23;18;32;55;83;87;90;101;81;67;24;10;-;698
2021;OPS-3-05A;    Endosonographie des Retroperitonealraumes;-;2;2;15;32;37;98;211;346;418;493;671;1074;1578;1676;1800;1789;1679;1634;663;123;15;14356;-;-;2;25;26;63;197;259;350;382;451;534;935;1252;1402;1447;1752;1676;1902;881;218;33;13787;-;2;4;40;58;100;295;470;696;800;944;1205;2009;2830;3078;3247;3541;3355;3536;1544;341;48;28143
2021;OPS-3-05B;    Endosonographie der Harnblase und der Urethra;-;-;-;1;-;3;2;-;5;6;2;8;16;46;57;66;85;63;40;20;4;2;426;1;1;-;-;1;-;2;2;7;3;1;4;9;8;12;16;7;9;9;5;-;1;98;1;1;-;1;1;3;4;2;12;9;3;12;25;54;69;82;92;72;49;25;4;3;524
2021;OPS-3-05C;    Endosonographie der männlichen Geschlechtsorgane;4;3;-;1;1;5;17;37;40;44;95;212;683;1575;2353;2921;3313;2673;2052;740;184;20;16973;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;3;-;1;1;5;17;37;40;44;95;212;683;1575;2353;2921;3313;2673;2052;740;184;20;16973
2021;OPS-3-05D;    Endosonographie der weiblichen Geschlechtsorgane;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;6;6;116;520;921;3613;5936;7495;5048;2860;2216;2028;1532;1394;1371;1196;1046;1192;513;141;33;39186;3;6;6;116;520;921;3613;5936;7495;5048;2860;2216;2028;1532;1394;1371;1196;1046;1192;513;141;33;39186
2021;OPS-3-05E;    Endosonographie der Blutgefäße;-;-;-;2;9;2;12;22;36;52;82;87;219;254;298;305;312;307;343;164;52;1;2559;-;-;-;6;12;9;37;57;65;74;82;74;146;199;222;239;252;314;358;181;48;12;2387;-;-;-;8;21;11;49;79;101;126;164;161;365;453;520;544;564;621;701;345;100;13;4946
2021;OPS-3-05F;    Transbronchiale Endosonographie;1;-;-;-;5;25;162;365;487;589;738;1100;2219;3703;4840;5229;5095;4125;3293;878;110;7;32971;-;-;1;1;4;11;83;155;250;308;468;724;1470;2374;3217;3468;3319;2667;2049;516;47;3;21135;1;-;1;1;9;36;245;520;737;897;1206;1824;3689;6077;8057;8697;8414;6792;5342;1394;157;10;54106
2021;OPS-3-05G;    Endosonographie des Herzens;-;1;-;-;2;10;16;33;77;153;296;564;1203;2068;2627;2731;2857;2775;2786;954;137;24;19314;1;1;-;-;3;4;22;21;47;63;106;185;295;503;729;1031;1284;1425;1627;710;161;19;8237;1;2;-;-;5;14;38;54;124;216;402;749;1498;2571;3356;3762;4141;4200;4413;1664;298;43;27551
2021;OPS-3-05X;    Andere Endosonographie;20;27;20;19;13;6;26;47;62;77;78;92;221;338;378;427;416;379;355;140;29;4;3174;8;16;11;13;14;10;33;63;68;75;87;101;174;272;314;327;357;335;365;167;44;7;2861;28;43;31;32;27;16;59;110;130;152;165;193;395;610;692;754;773;714;720;307;73;11;6035
2021;OPS-3-10--3-13;  Projektionsradiographie;2130;979;679;570;454;531;2636;4016;5935;6780;7952;9390;15223;21395;24768;25918;25619;19661;18459;7655;2007;230;202987;1308;827;496;404;465;520;2307;3416;5401;6722;8617;10811;19318;20798;21029;21180;16798;15849;16968;8001;2384;458;184077;3438;1806;1175;974;919;1051;4943;7432;11336;13502;16569;20201;34541;42193;45797;47098;42417;35510;35427;15656;4391;688;387064
2021;OPS-3-100;    Mammographie;-;-;-;-;2;2;2;7;6;5;18;10;36;47;70;52;55;48;44;15;4;-;423;-;-;-;1;6;14;104;283;919;1680;2978;4425;9998;9152;9219;8920;5411;4625;3885;1380;224;24;63248;-;-;-;1;8;16;106;290;925;1685;2996;4435;10034;9199;9289;8972;5466;4673;3929;1395;228;24;63671
2021;OPS-3-130;    Myelographie;-;1;1;2;1;-;12;18;25;23;38;68;107;177;169;182;184;197;175;66;10;-;1456;-;-;-;1;1;4;13;28;21;55;59;74;106;146;131;149;137;177;169;51;8;-;1330;-;1;1;3;2;4;25;46;46;78;97;142;213;323;300;331;321;374;344;117;18;-;2786
2021;OPS-3-131;    Diskographie;-;-;-;-;-;-;5;6;16;14;11;22;37;37;18;11;9;8;2;2;-;-;198;-;-;-;-;1;-;2;1;11;8;14;20;26;20;17;10;11;7;1;2;1;-;152;-;-;-;-;1;-;7;7;27;22;25;42;63;57;35;21;20;15;3;4;1;-;350
2021;OPS-3-134;    Pharyngographie;6;10;4;3;3;-;4;6;12;8;7;27;41;74;98;107;130;117;123;62;17;2;861;3;7;3;2;1;2;4;6;6;9;9;16;28;32;50;61;61;69;93;57;27;7;553;9;17;7;5;4;2;8;12;18;17;16;43;69;106;148;168;191;186;216;119;44;9;1414
2021;OPS-3-135;    Bronchographie;-;-;1;1;-;-;2;-;-;1;-;3;4;7;8;10;13;9;3;1;-;-;63;1;2;-;2;1;-;-;-;1;-;3;4;2;5;4;9;9;7;1;2;1;-;54;1;2;1;3;1;-;2;-;1;1;3;7;6;12;12;19;22;16;4;3;1;-;117
2021;OPS-3-136;    Galaktographie;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;2;-;1;-;1;-;7;-;-;-;-;-;-;-;3;8;8;11;15;14;8;7;11;10;9;9;1;-;-;114;-;-;-;-;-;-;-;3;8;8;11;15;16;8;8;11;12;9;10;1;1;-;121
2021;OPS-3-137;    Ösophagographie;159;134;68;68;42;24;102;153;242;266;334;423;738;1116;1384;1296;1311;1103;1112;457;122;25;10679;137;81;45;44;49;18;143;192;326;344;417;532;762;952;1044;1087;1132;1089;1133;570;174;24;10295;296;215;113;112;91;42;245;345;568;610;751;955;1500;2068;2428;2383;2443;2192;2245;1027;296;49;20974
2021;OPS-3-138;    Gastrographie;55;38;15;21;7;6;26;57;99;108;133;166;313;361;446;378;384;276;252;112;29;5;3287;47;36;23;19;9;13;70;89;190;190;234;272;367;416;399;412;395;372;375;158;38;8;4132;102;74;38;40;16;19;96;146;289;298;367;438;680;777;845;790;779;648;627;270;67;13;7419
2021;OPS-3-139;    Isolierte Dünndarmdarstellung (Enteroklysma);19;7;5;3;5;5;13;10;12;10;12;12;22;21;26;32;24;23;20;12;2;-;295;9;7;1;9;6;4;9;9;15;13;9;8;25;36;28;26;25;30;22;10;2;1;304;28;14;6;12;11;9;22;19;27;23;21;20;47;57;54;58;49;53;42;22;4;1;599
2021;OPS-3-13A;    Kolonkontrastuntersuchung;429;173;92;53;30;11;20;36;60;72;94;116;258;336;365;329;336;257;247;68;20;5;3407;286;115;49;42;22;7;21;40;67;79;106;132;233;309;352;372;351;327;347;174;57;8;3496;715;288;141;95;52;18;41;76;127;151;200;248;491;645;717;701;687;584;594;242;77;13;6903
2021;OPS-3-13B;    Magen-Darm-Passage (fraktioniert);369;150;90;93;41;25;62;125;171;183;247;290;565;839;948;984;1019;1022;1145;549;176;23;9116;253;120;64;56;41;23;102;160;256;251;361;404;631;782;842;919;929;1033;1360;789;310;95;9781;622;270;154;149;82;48;164;285;427;434;608;694;1196;1621;1790;1903;1948;2055;2505;1338;486;118;18897
2021;OPS-3-13C;    Cholangiographie;19;31;17;17;19;19;33;50;98;122;166;215;456;613;781;816;708;630;615;290;69;8;5792;27;32;16;10;12;13;70;99;196;200;195;259;370;489;497;602;536;538;641;304;129;16;5251;46;63;33;27;31;32;103;149;294;322;361;474;826;1102;1278;1418;1244;1168;1256;594;198;24;11043
2021;OPS-3-13D;    Urographie;131;129;112;119;209;360;2070;3197;4694;5430;6203;7005;10104;12748;12905;12642;12374;10377;11365;4835;1269;127;118405;58;90;60;104;221;355;1571;2211;2934;3369;3638;4014;5807;7220;7233;7248;6430;6182;7408;3755;1192;230;71330;189;219;172;223;430;715;3641;5408;7628;8799;9841;11019;15911;19968;20138;19890;18804;16559;18773;8590;2461;357;189735
2021;OPS-3-13E;    Miktionszystourethrographie;814;202;141;94;25;19;53;50;77;76;87;127;252;469;644;791;904;514;256;62;8;2;5667;339;230;134;61;40;15;36;36;57;53;40;46;72;89;87;81;82;53;96;29;4;-;1680;1153;432;275;155;65;34;89;86;134;129;127;173;324;558;731;872;986;567;352;91;12;2;7347
2021;OPS-3-13F;    Zystographie;26;20;32;22;19;20;88;100;148;154;235;460;1511;3455;5633;6926;6814;3871;1939;655;175;23;32326;15;35;42;11;20;31;72;146;252;270;309;293;432;520;531;621;586;567;628;301;82;11;5775;41;55;74;33;39;51;160;246;400;424;544;753;1943;3975;6164;7547;7400;4438;2567;956;257;34;38101
2021;OPS-3-13G;    Urethrographie;20;9;14;14;15;23;84;98;132;139;150;169;300;411;499;547;556;499;423;155;21;4;4282;11;10;8;1;3;1;9;11;18;17;24;31;60;56;44;40;60;46;36;10;2;-;498;31;19;22;15;18;24;93;109;150;156;174;200;360;467;543;587;616;545;459;165;23;4;4780
2021;OPS-3-13H;    Hysterosalpingographie;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
2021;OPS-3-13J;    Vasovesikulographie;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;3
2021;OPS-3-13K;    Arthrographie;17;11;47;24;13;7;10;13;14;11;19;19;27;51;38;45;55;49;70;22;7;-;569;72;20;25;17;5;1;11;13;13;17;12;33;53;62;72;64;84;117;94;62;8;4;859;89;31;72;41;18;8;21;26;27;28;31;52;80;113;110;109;139;166;164;84;15;4;1428
2021;OPS-3-13M;    Fistulographie;10;6;3;4;2;1;15;22;25;17;33;28;84;99;119;145;140;105;110;26;8;-;1002;7;4;-;2;3;1;6;8;17;20;31;37;31;72;62;80;77;81;88;28;5;-;660;17;10;3;6;5;2;21;30;42;37;64;65;115;171;181;225;217;186;198;54;13;-;1662
2021;OPS-3-13N;    Sinugraphie;-;-;-;-;-;-;-;2;-;3;3;2;2;3;3;10;6;4;11;6;1;-;56;-;-;-;-;-;-;-;1;2;1;1;-;4;3;1;8;7;1;5;1;-;-;35;-;-;-;-;-;-;-;3;2;4;4;2;6;6;4;18;13;5;16;7;1;-;91
2021;OPS-3-13P;    Projektionsradiographie d. Leber m. Kontrastmittel;2;2;2;-;3;1;2;-;2;12;11;14;28;52;45;50;41;47;46;25;7;1;393;1;1;1;2;1;-;7;3;9;7;16;11;22;28;23;32;39;52;62;31;20;3;371;3;3;3;2;4;1;9;3;11;19;27;25;50;80;68;82;80;99;108;56;27;4;764
2021;OPS-3-13X;    And. Projektionsradiographie m.Kontrastmittelverf.;54;56;35;32;18;8;32;66;102;126;151;214;335;479;568;565;554;505;500;235;61;5;4701;42;37;25;20;23;17;57;77;82;131;149;185;275;401;386;428;426;467;515;286;100;27;4156;96;93;60;52;41;25;89;143;184;257;300;399;610;880;954;993;980;972;1015;521;161;32;8857
2021;OPS-3-20--3-26;  Computertomographie (CT);1044;2698;2933;5879;12723;17817;51033;55094;71771;84576;101386;127007;215305;319624;375900;400802;419115;424707;508113;275352;94032;15400;3582408;827;1781;2001;4235;6887;10044;29401;32678;44717;55514;72977;92722;153280;213029;251692;290723;333067;401662;585631;397510;182839;48570;3211789;1871;4479;4934;10114;19610;27861;80434;87772;116488;140090;174363;219729;368585;532653;627592;691525;752182;826369;1093744;672862;276871;63970;6794197
2021;OPS-3-200;    Native Computertomographie des Schädels;347;1331;1244;1711;3207;4689;12910;12827;15558;17628;20166;24437;40251;58142;67722;74336;84761;97141;132430;83290;32653;5946;792762;309;888;819;1216;1915;2851;8007;8338;10581;12239;15313;18867;29289;39145;46267;55428;70237;97774;163251;127299;66633;18814;795481;656;2219;2063;2927;5122;7540;20917;21165;26139;29867;35479;43304;69540;97287;113989;129764;154998;194915;295681;210589;99286;24760;1588243
2021;OPS-3-201;    Native Computertomographie des Halses;7;28;32;80;142;185;453;395;465;522;575;782;1259;1928;2275;2439;2417;2600;3196;1797;711;131;22419;4;23;21;52;74;97;237;256;275;317;414;502;819;1133;1366;1555;1762;2208;3306;2451;1351;418;18641;11;51;53;132;216;282;690;651;740;839;989;1284;2078;3061;3641;3994;4179;4808;6502;4248;2062;549;41060
2021;OPS-3-202;    Native Computertomographie des Thorax;116;240;190;340;532;708;2030;2270;3294;4026;5109;6871;12029;18904;23971;27341;29498;30818;36149;19241;6617;1073;231368;94;172;174;255;303;399;1042;1328;1927;2447;3336;4570;7841;11513;14671;18259;20292;23268;31729;20677;8992;2258;175547;210;412;364;595;835;1107;3072;3598;5221;6473;8445;11441;19870;30417;38642;45600;49790;54086;67878;39918;15609;3331;406915
2021;OPS-3-203;    Nat.Computertomographie v.Wirbelsäule u.Rückenmark;17;186;221;519;1374;1783;4573;4005;4518;4972;5499;6316;9918;13989;15005;15132;16582;19716;28238;18818;8485;1754;181626;16;95;143;456;799;964;2339;2062;2194;2576;3472;4348;7392;10151;11099;12960;17163;25382;44020;34573;19217;6047;207468;33;281;364;975;2173;2747;6912;6067;6712;7548;8971;10664;17310;24140;26104;28092;33745;45098;72258;53391;27702;7801;389094
2021;OPS-3-204;    Native Computertomographie des Herzens;3;-;-;1;4;12;41;53;127;226;251;348;538;683;769;753;721;821;972;447;111;5;6886;2;-;-;-;2;3;10;18;36;75;145;227;396;505;601;636;744;798;1077;512;141;19;5947;5;-;-;1;6;15;51;71;163;301;396;575;934;1188;1370;1389;1465;1619;2049;959;252;24;12833
2021;OPS-3-205;    Nat. Computertomographie d. Muskel-Skelett-Systems;3;41;197;1057;1493;1140;3093;3150;3690;3994;4326;4619;6811;9009;9150;8528;8269;8264;10325;6255;2547;458;96419;4;51;200;713;484;448;1348;1415;1837;2045;2516;3096;6362;9951;11901;12758;14650;17307;25134;18168;9227;2766;142381;7;92;397;1770;1977;1588;4441;4565;5527;6039;6842;7715;13173;18960;21051;21286;22919;25571;35459;24423;11774;3224;238800
2021;OPS-3-206;    Native Computertomographie des Beckens;2;14;39;93;272;378;1368;1792;2359;2679;2947;3339;5106;6900;7863;8353;8912;9773;13310;8614;3742;727;88583;6;15;29;87;157;276;961;1085;1413;1690;1928;2167;3604;4917;5854;7343;9211;13231;24044;20338;11307;3425;113088;8;29;68;180;429;654;2329;2877;3772;4369;4875;5506;8710;11817;13717;15696;18123;23004;37354;28952;15049;4152;201671
2021;OPS-3-207;    Native Computertomographie des Abdomens;8;34;58;149;390;707;3171;4612;6442;7496;8475;9530;13859;18024;19874;20376;20717;20042;24315;12896;4389;717;196281;18;26;32;108;299;693;2554;3037;4003;4539;5215;5985;9093;11916;12970;14679;15611;17508;25443;16675;7261;1809;159474;26;60;90;257;689;1400;5725;7649;10445;12035;13690;15515;22952;29940;32844;35055;36328;37550;49758;29571;11650;2526;355755
2021;OPS-3-208;    Native Computertomographie der peripheren Gefäße;-;-;1;-;5;5;17;8;25;35;46;61;121;185;264;317;287;262;322;167;37;3;2168;2;-;1;1;2;2;12;7;13;18;23;33;65;91;132;184;183;201;290;207;85;14;1567;2;-;2;1;7;7;29;15;38;53;69;94;186;276;396;501;470;463;612;374;122;17;3735
2021;OPS-3-20X;    Andere native Computertomographie;9;27;41;65;99;96;296;306;374;426;432;572;934;1356;1630;1736;1690;1505;1500;757;235;46;14132;9;17;24;38;64;73;189;196;224;281;342;430;750;1041;1170;1255;1413;1435;1772;1084;488;142;12437;18;44;65;103;163;169;485;502;598;707;774;1002;1684;2397;2800;2991;3103;2940;3272;1841;723;188;26569
2021;OPS-3-220;    Computertomographie d. Schädels mit Kontrastmittel;19;93;122;231;465;658;1929;2030;2847;3455;4289;5787;10405;15742;18949;20306;22042;22469;26359;13794;4354;647;177002;13;54;67;145;266;445;1380;1626;2146;2701;3607;4582;7288;9972;12095;14027;16542;20234;29198;19694;8821;2142;157045;32;147;189;376;731;1103;3309;3656;4993;6156;7896;10369;17693;25714;31044;34333;38584;42703;55557;33488;13175;2789;334047
2021;OPS-3-221;    Computertomographie des Halses mit Kontrastmittel;11;72;85;197;591;920;2472;2505;3103;3621;4430;5768;10268;15974;18544;18988;19325;19206;21820;10890;3418;491;162711;12;34;52;138;330;450;1329;1357;1830;2183;3008;3838;6128;8564;10171;11420;13279;15639;22152;14518;6266;1544;124242;23;106;137;335;921;1370;3801;3862;4933;5804;7438;9606;16396;24538;28715;30408;32604;34845;43972;25408;9684;2035;286953
2021;OPS-3-222;    Computertomographie des Thorax mit Kontrastmittel;275;278;257;464;1373;2172;6171;7004;9332;11354;14560;19644;35890;56791;69106;74644;75955;71385;76613;35495;9415;1176;579362;186;200;162;373;784;1169;3392;3864;5705;7490;10433;13940;24239;35382;43831;51292;55999;61188;76600;41862;13815;2819;454725;461;478;419;837;2157;3341;9563;10868;15037;18844;24993;33584;60129;92173;112937;125936;131954;132573;153213;77357;23230;3995;1034087
2021;OPS-3-223;    Computertom. v.Wirbelsäule/Rückenmark m.Kontrastm.;4;31;40;67;239;345;798;736;799;741;784;827;1245;1566;1526;1435;1349;1372;1621;849;250;45;16669;1;12;21;44;122;146;346;288;303;330;418;450;673;830;808;860;928;1224;1613;1025;466;146;11054;5;43;61;111;361;491;1144;1024;1102;1071;1202;1277;1918;2396;2334;2295;2277;2596;3234;1874;716;191;27723
