ZE;Bezeichnung;ZED;OPS-Kode;OPS-Text;Betrag
ZE50;Gabe von Cetuximab, parenteral;ZE50.17;;Siehe weitere Differenzierung ZE50.18 - ZE50.20;
ZE50;Gabe von Cetuximab, parenteral;ZE50.18;6-001.ah;3.350 mg bis unter 3.950 mg;9.043,98 €
ZE50;Gabe von Cetuximab, parenteral;ZE50.19;6-001.aj;3.950 mg bis unter 4.550 mg;10.572,54 €
ZE50;Gabe von Cetuximab, parenteral;ZE50.20;6-001.ak;4.550 mg oder mehr;12.101,10 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;;;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen [HBsAg];Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen [HBsAg]
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.01;8-810.q0;2.000 IE bis unter 4.000 IE;1.669,40 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.02;8-810.q1;4.000 IE bis unter 6.000 IE;3.338,80 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.03;8-810.q2;6.000 IE bis unter 8.000 IE;5.008,20 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.04;8-810.q3;8.000 IE bis unter 10.000 IE;6.677,60 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.05;8-810.q4;10.000 IE bis unter 12.000 IE;8.347,00 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.06;8-810.q5;12.000 IE bis unter 14.000 IE;10.016,40 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.07;8-810.q6;14.000 IE bis unter 16.000 IE;11.685,80 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.08;8-810.q7;16.000 IE bis unter 18.000 IE;13.355,20 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.09;8-810.q8;18.000 IE bis unter 20.000 IE;15.024,60 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.10;8-810.q9;20.000 IE bis unter 22.000 IE;16.694,00 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.11;8-810.qa;22.000 IE bis unter 24.000 IE;18.363,40 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.12;8-810.qb;24.000 IE bis unter 28.000 IE;20.032,80 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.13;8-810.qc;28.000 IE bis unter 32.000 IE;23.371,60 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.14;8-810.qd;32.000 IE bis unter 36.000 IE;26.710,40 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.15;8-810.qe;36.000 IE bis unter 40.000 IE;30.049,20 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.16;8-810.qf;40.000 IE bis unter 46.000 IE;33.388,00 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.17;8-810.qg;46.000 IE bis unter 52.000 IE;38.396,20 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.18;8-810.qh;52.000 IE bis unter 58.000 IE;43.404,40 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.19;8-810.qj;58.000 IE bis unter 64.000 IE;48.412,60 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.20;;Siehe weitere Differenzierung ZE51.21 bis ZE51.25;
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.21;8-810.qm;64.000 IE bis unter 76.000 IE;53.420,80 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.22;8-810.qn;76.000 IE bis unter 88.000 IE;63.437,20 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.23;8-810.qp;88.000 IE bis unter 100.000 IE;73.453,60 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.24;8-810.qq;100.000 IE bis unter 112.000 IE;83.470,00 €
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;ZE51.25;8-810.qr;112.000 IE oder mehr;93.486,40 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;;;Applikation von Medikamenten, Liste 1: Liposomales Doxorubicin, parenteral;Applikation von Medikamenten, Liste 1: Liposomales Doxorubicin, parenteral
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.016);6-001.b0;10 mg bis unter 20 mg;285,05 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.026);6-001.b1;20 mg bis unter 30 mg;498,83 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.03;6-001.b2;30 mg bis unter 40 mg;712,62 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.04;6-001.b3;40 mg bis unter 50 mg;921,63 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.05;6-001.b4;50 mg bis unter 60 mg;1.115,11 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.06;6-001.b5;60 mg bis unter 70 mg;1.353,98 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.07;6-001.b6;70 mg bis unter 80 mg;1.567,76 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.08;6-001.b7;80 mg bis unter 90 mg;1.781,55 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.09;6-001.b8;90 mg bis unter 100 mg;1.995,34 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.10;6-001.b9;100 mg bis unter 110 mg;2.209,12 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.11;6-001.ba;110 mg bis unter 120 mg;2.422,91 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.12;6-001.bb;120 mg bis unter 140 mg;2.707,96 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.13;6-001.bc;140 mg bis unter 160 mg;3.135,53 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.14;6-001.bd;160 mg bis unter 180 mg;3.563,10 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.15;6-001.be;180 mg bis unter 200 mg;3.990,67 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.16;6-001.bf;200 mg bis unter 220 mg;4.418,24 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.17;6-001.bg;220 mg bis unter 240 mg;4.845,82 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.18;6-001.bh;240 mg bis unter 260 mg;5.273,39 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.19;6-001.bj;260 mg bis unter 280 mg;5.700,96 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.20;6-001.bk;280 mg bis unter 300 mg;6.128,53 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.21;6-001.bm;300 mg bis unter 320 mg;6.556,10 €
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;ZE52.22;6-001.bn;320 mg oder mehr;6.983,68 €
ZE56;Vollimplantierbare Medikamentenpumpe mit konstanter Flussrate;;5-028.10;Funktionelle Eingriffe an Schädel, Gehirn und Hirnhäuten: Implantation oder Wechsel einer Medikamentenpumpe zur intraventrikulären Infusion: Vollimplantierbare Medikamentenpumpe mit konstanter Flussrate;siehe Anlage 2
ZE56;Vollimplantierbare Medikamentenpumpe mit konstanter Flussrate;;5-038.40;Operationen am spinalen Liquorsystem: Implantation oder Wechsel einer Medikamentenpumpe zur intrathekalen und/oder epiduralen Infusion: Vollimplantierbare Medikamentenpumpe mit konstanter Flussrate;siehe Anlage 2
ZE58;Hydraulische Penisprothesen;;5-649.51;Andere Operationen am Penis: Implantation einer Penisprothese: Hydraulische Prothese;siehe Anlage 2
ZE58;Hydraulische Penisprothesen;;5-649.a1;Andere Operationen am Penis: Wechsel einer semirigiden Penisprothese: In eine hydraulische Prothese;siehe Anlage 2
ZE58;Hydraulische Penisprothesen;;5-649.b1;Andere Operationen am Penis: Wechsel einer hydraulischen Penisprothese: Vollständig, in eine hydraulische Prothese;siehe Anlage 2
ZE60;Palliativmedizinische Komplexbehandlung;ZE60.01;8-982.1;Palliativmedizinische Komplexbehandlung: Mindestens 7 bis höchstens 13 Behandlungstage;771,42 €
ZE60;Palliativmedizinische Komplexbehandlung;ZE60.02;8-982.2;Palliativmedizinische Komplexbehandlung: Mindestens 14 bis höchstens 20 Behandlungstage;975,16 €
ZE60;Palliativmedizinische Komplexbehandlung;ZE60.03;8-982.3;Palliativmedizinische Komplexbehandlung: Mindestens 21 Behandlungstage;1.102,16 €
ZE61;LDL-Apherese;;8-822;LDL-Apherese;siehe Anlage 2
ZE62;Hämofiltration, intermittierend;;8-853.3;Hämofiltration: Intermittierend, Antikoagulation mit Heparin oder ohne Antikoagulation;siehe Anlage 2
ZE62;Hämofiltration, intermittierend;;8-853.4;Hämofiltration: Intermittierend, Antikoagulation mit sonstigen Substanzen;siehe Anlage 2
ZE62;Hämofiltration, intermittierend;;8-853.5;Hämofiltration: Verlängert intermittierend, Antikoagulation mit Heparin oder ohne Antikoagulation;siehe Anlage 2
ZE62;Hämofiltration, intermittierend;;8-853.6;Hämofiltration: Verlängert intermittierend, Antikoagulation mit sonstigen Substanzen;siehe Anlage 2
ZE63;Gabe von Paclitaxel, parenteral;;;Applikation von Medikamenten, Liste 1: Paclitaxel, parenteral;Applikation von Medikamenten, Liste 1: Paclitaxel, parenteral
ZE63;Gabe von Paclitaxel, parenteral;ZE63.08;6-001.f7;1.320 mg bis unter 1.500 mg;113,02 €
ZE63;Gabe von Paclitaxel, parenteral;ZE63.09;6-001.f8;1.500 mg bis unter 1.680 mg;127,76 €
ZE63;Gabe von Paclitaxel, parenteral;ZE63.10;6-001.f9;1.680 mg bis unter 1.860 mg;142,51 €
ZE63;Gabe von Paclitaxel, parenteral;ZE63.11;6-001.fa;1.860 mg bis unter 2.040 mg;157,25 €
ZE63;Gabe von Paclitaxel, parenteral;ZE63.12;6-001.fb;2.040 mg bis unter 2.220 mg;171,99 €
ZE63;Gabe von Paclitaxel, parenteral;ZE63.13;6-001.fc;2.220 mg bis unter 2.400 mg;186,73 €
ZE63;Gabe von Paclitaxel, parenteral;ZE63.14;6-001.fd;2.400 mg oder mehr;201,47 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;;;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus [CMV];Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus [CMV]
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.014);8-810.s0;1,0 g bis unter 2,0 g;357,70 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.024);8-810.s1;2,0 g bis unter 3,0 g;625,98 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.034);8-810.s2;3,0 g bis unter 5,0 g;983,69 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.04;8-810.s3;5,0 g bis unter 7,5 g;1.341,39 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.05;8-810.s4;7,5 g bis unter 10,0 g;2.012,08 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.06;8-810.s5;10,0 g bis unter 12,5 g;2.682,78 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.07;8-810.s6;12,5 g bis unter 15,0 g;3.353,47 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.08;8-810.s7;15,0 g bis unter 20,0 g;4.024,17 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.09;8-810.s8;20,0 g bis unter 25,0 g;5.365,56 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.10;8-810.s9;25,0 g bis unter 30,0 g;6.706,95 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.11;8-810.sa;30,0 g bis unter 35,0 g;8.048,34 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.12;8-810.sb;35,0 g bis unter 40,0 g;9.389,73 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.13;8-810.sc;40,0 g bis unter 45,0 g;10.731,12 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.14;8-810.sd;45,0 g bis unter 50,0 g;12.072,51 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.15;;Siehe weitere Differenzierung ZE64.16 bis ZE64.24;
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.16;8-810.sf;50,0 g bis unter 60,0 g;13.413,90 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.17;8-810.sg;60,0 g bis unter 70,0 g;16.096,67 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.18;8-810.sh;70,0 g bis unter 80,0 g;18.779,45 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.19;8-810.sj;80,0 g bis unter 90,0 g;21.462,23 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.20;8-810.sk;90,0 g bis unter 100,0 g;24.145,01 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.21;8-810.sm;100,0 g bis unter 120,0 g;26.827,79 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.22;8-810.sn;120,0 g bis unter 140,0 g;32.193,35 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.23;8-810.sp;140,0 g bis unter 160,0 g;37.558,91 €
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;ZE64.24;8-810.sq;160,0 g oder mehr;42.924,46 €
ZE67;Gabe von Human-Immunglobulin, spezifisch gegen Varicella-Zoster-Virus, parenteral;;;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Human-Immunglobulin, spezifisch gegen Varicella-Zoster-Virus [VZV];Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Human-Immunglobulin, spezifisch gegen Varicella-Zoster-Virus [VZV]
ZE67;Gabe von Human-Immunglobulin, spezifisch gegen Varicella-Zoster-Virus, parenteral;ZE67.016);8-810.t0;250 IE bis unter 500 IE;340,07 €
ZE67;Gabe von Human-Immunglobulin, spezifisch gegen Varicella-Zoster-Virus, parenteral;ZE67.026);8-810.t1;500 IE bis unter 750 IE;595,12 €
ZE67;Gabe von Human-Immunglobulin, spezifisch gegen Varicella-Zoster-Virus, parenteral;ZE67.036);8-810.t2;750 IE bis unter 1.000 IE;850,17 €
ZE67;Gabe von Human-Immunglobulin, spezifisch gegen Varicella-Zoster-Virus, parenteral;ZE67.04;8-810.t3;1.000 IE bis unter 1.500 IE;1.020,20 €
ZE67;Gabe von Human-Immunglobulin, spezifisch gegen Varicella-Zoster-Virus, parenteral;ZE67.05;8-810.t4;1.500 IE bis unter 2.000 IE;1.530,30 €
ZE67;Gabe von Human-Immunglobulin, spezifisch gegen Varicella-Zoster-Virus, parenteral;ZE67.06;8-810.t5;2.000 IE bis unter 2.500 IE;2.040,40 €
ZE67;Gabe von Human-Immunglobulin, spezifisch gegen Varicella-Zoster-Virus, parenteral;ZE67.07;8-810.t6;2.500 IE bis unter 3.000 IE;2.550,50 €
ZE67;Gabe von Human-Immunglobulin, spezifisch gegen Varicella-Zoster-Virus, parenteral;ZE67.08;8-810.t7;3.000 IE bis unter 3.500 IE;3.060,60 €
ZE67;Gabe von Human-Immunglobulin, spezifisch gegen Varicella-Zoster-Virus, parenteral;ZE67.09;8-810.t8;3.500 IE bis unter 4.000 IE;3.570,70 €
ZE67;Gabe von Human-Immunglobulin, spezifisch gegen Varicella-Zoster-Virus, parenteral;ZE67.10;8-810.t9;4.000 IE bis unter 5.000 IE;4.080,80 €
ZE67;Gabe von Human-Immunglobulin, spezifisch gegen Varicella-Zoster-Virus, parenteral;ZE67.11;8-810.ta;5.000 IE bis unter 6.000 IE;5.101,00 €
ZE67;Gabe von Human-Immunglobulin, spezifisch gegen Varicella-Zoster-Virus, parenteral;ZE67.12;8-810.tb;6.000 IE bis unter 7.000 IE;6.121,20 €
ZE67;Gabe von Human-Immunglobulin, spezifisch gegen Varicella-Zoster-Virus, parenteral;ZE67.13;8-810.tc;7.000 IE bis unter 8.000 IE;7.141,40 €
ZE67;Gabe von Human-Immunglobulin, spezifisch gegen Varicella-Zoster-Virus, parenteral;ZE67.14;8-810.td;8.000 IE oder mehr;8.161,60 €
ZE70;Gabe von C1-Esteraseinhibitor, parenteral;;;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: C1-Esteraseinhibitor;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: C1-Esteraseinhibitor
ZE70;Gabe von C1-Esteraseinhibitor, parenteral;ZE70.01;8-810.h3;500 Einheiten bis unter 1.000 Einheiten;797,95 €
ZE70;Gabe von C1-Esteraseinhibitor, parenteral;ZE70.02;8-810.h4;1.000 Einheiten bis unter 1.500 Einheiten;1.595,90 €
ZE70;Gabe von C1-Esteraseinhibitor, parenteral;ZE70.03;8-810.h5;1.500 Einheiten bis unter 2.000 Einheiten;2.393,85 €
ZE70;Gabe von C1-Esteraseinhibitor, parenteral;ZE70.04;8-810.h6;2.000 Einheiten bis unter 2.500 Einheiten;3.191,80 €
ZE70;Gabe von C1-Esteraseinhibitor, parenteral;ZE70.05;8-810.h7;2.500 Einheiten bis unter 3.000 Einheiten;3.989,75 €
ZE70;Gabe von C1-Esteraseinhibitor, parenteral;ZE70.06;8-810.h8;3.000 Einheiten bis unter 4.000 Einheiten;5.186,68 €
ZE70;Gabe von C1-Esteraseinhibitor, parenteral;ZE70.07;8-810.h9;4.000 Einheiten bis unter 5.000 Einheiten;6.782,58 €
ZE70;Gabe von C1-Esteraseinhibitor, parenteral;ZE70.08;8-810.ha;5.000 Einheiten bis unter 6.000 Einheiten;8.378,48 €
ZE70;Gabe von C1-Esteraseinhibitor, parenteral;ZE70.09;8-810.hb;6.000 Einheiten bis unter 7.000 Einheiten;9.974,38 €
ZE70;Gabe von C1-Esteraseinhibitor, parenteral;ZE70.10;8-810.hc;7.000 Einheiten bis unter 9.000 Einheiten;12.235,23 €
ZE70;Gabe von C1-Esteraseinhibitor, parenteral;ZE70.11;8-810.hd;9.000 Einheiten bis unter 11.000 Einheiten;15.427,03 €
ZE70;Gabe von C1-Esteraseinhibitor, parenteral;ZE70.12;8-810.he;11.000 oder mehr Einheiten;18.618,83 €
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;;;Applikation von Medikamenten, Liste 2: Pegyliertes liposomales Doxorubicin, parenteral;Applikation von Medikamenten, Liste 2: Pegyliertes liposomales Doxorubicin, parenteral
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;ZE72.016);6-002.80;10 mg bis unter 20 mg;379,67 €
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;ZE72.026);6-002.81;20 mg bis unter 30 mg;664,43 €
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;ZE72.03;6-002.82;30 mg bis unter 40 mg;949,18 €
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;ZE72.04;6-002.83;40 mg bis unter 50 mg;1.233,94 €
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;ZE72.05;6-002.84;50 mg bis unter 60 mg;1.518,69 €
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;ZE72.06;6-002.85;60 mg bis unter 70 mg;1.803,45 €
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;ZE72.07;6-002.86;70 mg bis unter 80 mg;2.088,20 €
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;ZE72.08;6-002.87;80 mg bis unter 90 mg;2.359,20 €
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;ZE72.09;6-002.88;90 mg bis unter 100 mg;2.650,21 €
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;ZE72.10;6-002.89;100 mg bis unter 110 mg;2.942,47 €
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;ZE72.11;6-002.8a;110 mg bis unter 120 mg;3.227,22 €
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;ZE72.12;6-002.8b;120 mg bis unter 140 mg;3.606,90 €
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;ZE72.13;6-002.8c;140 mg bis unter 160 mg;4.176,41 €
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;ZE72.14;6-002.8d;160 mg bis unter 180 mg;4.745,92 €
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;ZE72.15;6-002.8e;180 mg bis unter 200 mg;5.315,43 €
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;ZE72.16;6-002.8f;200 mg bis unter 220 mg;5.884,94 €
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;ZE72.17;6-002.8g;220 mg bis unter 240 mg;6.454,45 €
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;ZE72.18;6-002.8h;240 mg oder mehr;7.023,96 €
ZE78;Gabe von Temozolomid, oral;;;Applikation von Medikamenten, Liste 2: Temozolomid, oral;Applikation von Medikamenten, Liste 2: Temozolomid, oral
ZE78;Gabe von Temozolomid, oral;ZE78.014);6-002.e0;200 mg bis unter 350 mg;31,00 €
ZE78;Gabe von Temozolomid, oral;ZE78.024);6-002.e1;350 mg bis unter 500 mg;49,60 €
ZE78;Gabe von Temozolomid, oral;ZE78.034);6-002.e2;500 mg bis unter 750 mg;72,33 €
ZE78;Gabe von Temozolomid, oral;ZE78.044);6-002.e3;750 mg bis unter 1.000 mg;103,33 €
ZE78;Gabe von Temozolomid, oral;ZE78.05;6-002.e4;1.000 mg bis unter 1.250 mg;134,33 €
ZE78;Gabe von Temozolomid, oral;ZE78.06;6-002.e5;1.250 mg bis unter 1.500 mg;165,33 €
ZE78;Gabe von Temozolomid, oral;ZE78.07;6-002.e6;1.500 mg bis unter 1.750 mg;196,33 €
ZE78;Gabe von Temozolomid, oral;ZE78.08;6-002.e7;1.750 mg bis unter 2.000 mg;227,33 €
ZE78;Gabe von Temozolomid, oral;ZE78.09;6-002.e8;2.000 mg bis unter 2.250 mg;258,33 €
ZE78;Gabe von Temozolomid, oral;ZE78.10;6-002.e9;2.250 mg bis unter 2.500 mg;289,33 €
ZE78;Gabe von Temozolomid, oral;ZE78.11;6-002.ea;2.500 mg bis unter 2.750 mg;320,33 €
ZE78;Gabe von Temozolomid, oral;ZE78.12;6-002.eb;2.750 mg bis unter 3.000 mg;351,33 €
ZE78;Gabe von Temozolomid, oral;ZE78.13;6-002.ec;3.000 mg bis unter 3.500 mg;392,67 €
ZE78;Gabe von Temozolomid, oral;ZE78.14;6-002.ed;3.500 mg bis unter 4.000 mg;454,33 €
ZE78;Gabe von Temozolomid, oral;ZE78.15;6-002.ee;4.000 mg bis unter 4.500 mg;516,67 €
ZE78;Gabe von Temozolomid, oral;ZE78.16;6-002.ef;4.500 mg bis unter 5.000 mg;578,67 €
ZE78;Gabe von Temozolomid, oral;ZE78.17;6-002.eg;5.000 mg bis unter 5.500 mg;640,67 €
ZE78;Gabe von Temozolomid, oral;ZE78.18;6-002.eh;5.500 mg bis unter 6.000 mg;702,67 €
ZE78;Gabe von Temozolomid, oral;ZE78.19;6-002.ej;6.000 mg bis unter 7.000 mg;785,33 €
ZE78;Gabe von Temozolomid, oral;ZE78.20;6-002.ek;7.000 mg oder mehr;909,33 €
ZE80;Gabe von Docetaxel, parenteral;;;Applikation von Medikamenten, Liste 2: Docetaxel, parenteral;Applikation von Medikamenten, Liste 2: Docetaxel, parenteral
ZE80;Gabe von Docetaxel, parenteral;ZE80.13;6-002.hc;720 mg bis unter 840 mg;123,80 €
ZE80;Gabe von Docetaxel, parenteral;ZE80.14;6-002.hd;840 mg bis unter 960 mg;143,35 €
ZE80;Gabe von Docetaxel, parenteral;ZE80.15;6-002.he;960 mg bis unter 1.080 mg;162,90 €
ZE80;Gabe von Docetaxel, parenteral;ZE80.16;6-002.hf;1.080 mg oder mehr;182,45 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;;;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Human-Immunglobulin, polyvalent;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Human-Immunglobulin, polyvalent
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.016);8-810.w0;2,5 g bis unter 5 g;176,40 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.026);8-810.w1;5 g bis unter 10 g;352,80 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.03;8-810.w2;10 g bis unter 15 g;553,10 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.04;8-810.w3;15 g bis unter 25 g;970,18 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.05;8-810.w4;25 g bis unter 35 g;1.499,37 €
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;ZE93.06;8-810.w5;35 g bis unter 45 g;2.028,56 €
