DRG;Partition;Bezeichnung;Bewertungsrelation bei Hauptabteilung;Bewertungsrelation bei Hauptabteilung und Beleghebamme;Mittlere Verweildauer;Untere Grenzverweildauer;Untere Grenzverweildauer: Bewertungsrelation pro Tag;Obere Grenzverweildauer;Obere Grenzverweildauer: Bewertungsrelation pro Tag;Externe Verlegung Abschlag pro Tag;Verlegungsfallpauschale;Ausnahme von Wiederaufnahme;Pflegeerlös Bewertungsrelation pro Tag
E40B;A;Krankheiten und Störungen der Atmungsorgane mit Beatmung > 24 Stunden, mehr als 2 Belegungstage, mit komplexer Prozedur, mit äußerst schweren CC, Alter > 15 Jahre oder bei Para- / Tetraplegie;2,303;;13,0;3;0,528;29;0,114;0,151;;x;2,0377
E40C;A;Krankheiten und Störungen der Atmungsorgane mit Beatmung > 24 Stunden, mehr als 2 Belegungstage, mit komplexer Prozedur, ohne äußerst schwere CC, außer bei Para- / Tetraplegie;1,603;;10,0;2;0,517;22;0,108;0,141;;x;2,0966
E42Z;A;Geriatrische frührehabilitative Komplexbehandlung bei Krankheiten und Störungen der Atmungsorgane;1,502;;20,5;6;0,210;31;0,050;0,068;;;0,8039
E60A;M;Zystische Fibrose (Mukoviszidose), Alter < 16 Jahre oder mit äußerst schweren CC;1,313;;9,5;2;0,425;21;0,139;;x;;1,3288
E60B;M;Zystische Fibrose (Mukoviszidose), Alter > 15 Jahre, ohne äußerst schwere CC;0,842;;7,2;1;0,540;17;0,113;;x;;0,9641
E63A;M;Schlafapnoesyndrom oder Polysomnographie oder kardiorespiratorische Polygraphie bis 2 Belegungstage, Alter < 18 Jahre oder mit bestimmter invasiver kardiologischer Diagnostik;0,352;;2,1;1;0,148;4;0,112;0,108;;;1,8422
E63B;M;Schlafapnoesyndrom oder Polysomnographie oder kardiorespiratorische Polygraphie bis 2 Belegungstage, Alter > 17 Jahre, ohne bestimmte invasive kardiologische Diagnostik;0,280;;2,2;1;0,114;4;0,088;0,086;;;0,7070
E64A;M;Respiratorische Insuffizienz, mehr als ein Belegungstag, mit äußerst schweren CC oder Lungenembolie;0,727;;6,9;1;0,479;15;0,070;0,087;;;0,8901
E64B;M;Respiratorische Insuffizienz, mehr als ein Belegungstag, ohne äußerst schwere CC, Alter < 16 Jahre;0,675;;4,6;;;12;0,145;0,119;;;2,0202
E64C;M;Respiratorische Insuffizienz, mehr als ein Belegungstag, ohne äußerst schwere CC, Alter > 15 Jahre;0,567;;6,0;;;14;0,064;0,078;;;0,9734
E64D;M;Respiratorische Insuffizienz, ein Belegungstag;0,190;;1,0;;;;;;;;1,2876
E65A;M;Chronisch-obstruktive Atemwegserkrankung od. best. Atemwegsinfektion mit äuß. schw. CC oder best. hochaufw. Beh. od. Bronchitis und Asthma bronchiale, mehr als ein BT, mit äuß. schw. oder schw. CC, Alter < 1 J., mit RS-Virus-Infektion;1,321;;14,2;4;0,250;28;0,061;0,082;;;0,9982
E65B;M;Chronisch-obstruktive Atemwegserkrankung oder best. Atemwegsinfektion ohne äußerst schwere CC, mit komplizierender Diagnose oder mit FEV1 < 35% und mehr als ein Belegungstag oder Alter < 1 J. oder mit bestimmter mäßig aufwendiger / aufwendiger Behandlung;0,723;;8,1;2;0,229;17;0,059;0,076;;;0,7882
E65C;M;Chronisch-obstruktive Atemwegserkrankung ohne äußerst schwere CC, ohne komplizierende Diagnose, ohne FEV1 < 35% oder ein Belegungstag oder Alter > 1 Jahr, ohne bestimmte mäßig aufwendige / aufwendige Behandlung;0,548;;6,3;1;0,344;13;0,058;0,072;;;0,7358
E66A;M;Schweres Thoraxtrauma mit komplizierender Diagnose;0,585;;5,6;1;0,314;13;0,072;0,087;;;0,9064
E66B;M;Schweres Thoraxtrauma ohne komplizierende Diagnose;0,431;;4,2;1;0,205;10;0,070;0,081;;;0,8239
E69A;M;Bronchitis und Asthma bronchiale, mehr als ein Belegungstag, mit äußerst schweren oder schweren CC oder bestimmte aufwendige / hochaufwendige Behandlung, Alter < 1 Jahr ohne RS-Virus-Infektion oder bei Para- / Tetraplegie;0,896;;7,5;2;0,289;16;0,081;0,102;;;1,5655
E69B;M;Bronchitis und Asthma bronchiale, mehr als 1 BT u. Alter > 55 J. od. mit äuß. schw. od. schw. CC, Alt. > 0 J. od. 1 BT od. oh. äuß. schw. od. schw. CC, Alt. < 1 J. od. flex. Bronchoskopie, Alt. < 16 J. od. best. mäßig aufw. Beh., m. RS-Virus-Infekt.;0,496;;5,7;1;0,310;12;0,059;0,071;;;0,8187
E69C;M;Bronchitis und Asthma bronchiale, ein Belegungstag oder ohne äuß. schw. oder schw. CC oder Alter < 56 Jahre oder Beschwerden und Symptome der Atmung oder Störungen der Atmung mit Ursache in der Neonatalperiode, ohne bestimmte aufw./hochaufw. Behandlung;0,367;;3,2;1;0,180;7;0,076;0,083;;;1,0646
E70Z;M;Keuchhusten und akute Bronchiolitis;0,422;;4,1;1;0,228;9;0,070;0,081;;;1,5182
E71A;M;Neubildungen der Atmungsorgane, mehr als ein Belegungstag, mit äußerst schweren CC;1,481;;14,5;4;0,279;29;0,067;0,090;;x;0,9217
E71B;M;Neubildungen der Atmungsorgane, ein Belegungstag oder ohne äußerst schwere CC, mit Ösophagusprothese oder endoskopischer Stufenbiopsie oder endoskopischer Biopsie am Respirationstrakt mit Chemotherapie;1,138;;8,8;2;0,322;19;0,077;0,099;;x;0,6451
E71C;M;Neubildungen der Atmungsorgane, ein Belegungstag oder ohne äußerst schwere CC, ohne Ösophagusproth., ohne Stufenbiop., ohne Chemotherapie od. ohne endoskop. Biop. am Respir.-Trakt, mit Bronchoskop. mit starrem Instr. oder perkut. Biop. am Respir.-Trakt;0,691;;4,9;1;0,314;13;0,082;0,097;;x;0,6622
E71D;M;Neubildungen der Atmungsorgane, ein Belegungstag od. ohne äußerst schwere CC, ohne Ösophagusproth., ohne Stufenbiopsie, ohne Chemoth. od. ohne endoskop. Biop. am Respir.-Trakt, ohne Bronchoskopie mit starrem Instr., ohne perkut. Biopsie am Respir.-Trakt;0,504;;4,8;1;0,282;12;0,069;0,082;;x;0,8446
E73A;M;Pleuraerguss mit äußerst schweren CC;1,266;;12,4;3;0,289;26;0,065;0,086;;;1,0893
E73B;M;Pleuraerguss ohne äußerst schwere CC;0,579;;5,5;1;0,356;13;0,067;0,081;;;0,7521
E74Z;M;Interstitielle Lungenerkrankung;0,634;;5,9;1;0,376;14;0,067;0,082;;;0,7350
E75A;M;Andere Krankheiten der Atmungsorgane mit äußerst schweren CC, Alter < 16 Jahre;1,561;;8,8;2;0,489;18;0,167;0,150;;;2,6452
E75B;M;Andere Krankheiten der Atmungsorgane mit äußerst schweren CC, Alter > 15 Jahre;1,122;;11,0;3;0,267;22;0,068;0,089;;;1,0871
E75C;M;Andere Krankheiten der Atmungsorgane ohne äußerst schwere CC oder Beschwerden und Symptome der Atmung mit komplexer Diagnose;0,502;;4,8;1;0,272;11;0,066;0,078;;;0,8688
E76B;M;Tuberkulose bis 14 Belegungstage oder Alter < 18 Jahre mit äußerst schweren oder schweren CC;1,036;;9,1;2;0,328;18;0,076;0,098;;;0,8468
E76C;M;Tuberkulose bis 14 Belegungstag, Alter > 17 Jahre oder ohne äußerst schwere oder schwere CC oder Pneumothorax;0,697;;6,4;1;0,456;14;0,073;0,090;;;0,9724
E77A;M;Bestimmte andere Infektionen und Entzündungen der Atmungsorgane mit intensivmedizinischer Komplexbehandlung > 392 / 368 / - Aufwandspunkte;3,713;;19,8;6;0,516;36;0,128;0,174;;;2,1995
E77B;M;Bestimmte andere Infektionen und Entzündungen der Atmungsorgane mit bestimmter komplizierender Konstellation oder hochkomplexer Diagnose oder intensivmedizinischer Komplexbehandlung > 196 / - / - Aufwandspunkte;2,345;;18,4;5;0,376;36;0,086;0,116;;;1,2754
E77C;M;Bestimmte andere Infektionen und Entzündungen der Atmungsorgane m. and. kompliz. Konst. od. schwersten CC od. kompl. Diagn. m. äuß. schw. CC od. bei Z.n. Tx od. m. Komplexbeh. MRE od. best. hochaufwend. Beh. od. angeb. Fehlbildungssynd. od. Alter < 10 J.;1,735;;14,8;4;0,334;30;0,079;0,105;;;1,2300
E77D;M;Bestimmte andere Infektionen und Entzündungen der Atmungsorgane, Alter > 9 Jahre;1,410;;11,9;3;0,338;24;0,080;0,105;;;1,1786
E78Z;M;Kontrolle oder Optimierung einer bestehenden häuslichen Beatmung, bis 2 Belegungstage;0,270;;2,0;1;0,100;3;0,091;0,086;;;1,0596
E79A;M;Infektionen und Entzündungen der Atmungsorgane mit komplexer Diagnose oder äußerst schweren CC, mehr als ein Belegungstag oder mit äußerst schweren CC mit bestimmten Infektionen oder Entzündungen;1,063;;11,5;3;0,253;23;0,062;0,081;;;0,9833
E79B;M;Infektionen und Entzündungen der Atmungsorgane ohne komplexe Diagnose, ohne äußerst schwere CC oder ein Belegungstag, bei Para- / Tetraplegie oder mit bestimmter mäßig aufwendiger Behandlung oder mit bestimmter Pneumonie, mehr als ein Belegungstag;0,751;;8,0;2;0,243;16;0,064;0,081;;;1,1742
E79C;M;Infektionen und Entzündungen der Atmungsorgane ohne komp. Diagnose, ohne äußerst schwere CC od. ein Belegungstag, außer bei Para- / Tetraplegie, ohne best. mäßig aufwend. Behandlung;0,596;;6,9;1;0,390;14;0,059;0,073;;;0,9119
MDC 05 Krankheiten und Störungen des Kreislaufsystems;;;;;;;;;;;;;
F01A;O;Implantation Kardioverter / Defibrillator (AICD), Dreikammer-Stim. od. Defibrillator mit subk. Elektrode od. intrak. Pulsgen. mit kompliz. Fakt. od. myokardstim. Sys. od. aufwendige Sondenentf. mit kompliz. Fakt. od. Zweikammer-Stim. mit kompliz. Fakt.;5,229;;14,3;4;0,311;29;0,076;0,102;;;1,2082
F01B;O;Implantation Kardioverter / Defibrillator (AICD), Zweikammer-Stimulation mit komplizierenden Faktoren oder neurologische Komplexbehandlung des akuten Schlaganfalls mehr als 24 Stunden mit komplizierenden Faktoren;4,066;;12,4;3;0,336;24;0,076;0,101;;;1,1794
F01C;O;Implantation Kardioverter / Defibrillator (AICD), Dreikammer-Stimulation oder Defibrillator mit subkutaner Elektrode oder intrakardialer Pulsgenerator, ohne komplizierende Faktoren oder Impl. eines Drucksensors in die Pulmonalarterie;3,365;;6,2;1;0,710;16;0,062;0,077;;;0,8912
F01D;O;Implantation Kardioverter / Defibrillator (AICD), Zwei- oder Einkammer-Stim. mit äußerst schweren CC oder Einkammer-Stim. mit zusätzlichem Herz- oder Gefäßeingriff oder mit IntK > 392 / 368 / - AP oder best. Sondenentfernung oder Alter < 18 Jahre;3,795;;13,9;4;0,301;28;0,076;0,101;;;1,1635
F01E;O;Impl. Kardioverter / Defibrillator (AICD), Zweikammer-Stimulation od. aufwendige Sondenentfernung od. Aggregatwechsel S-ICD ohne Änderung der Sonde, ohne Impl. Drucksens. in Pulmonalarterie, ohne Impl. eines intrakardialen Pulsgenerators, Alter > 17 J.;2,614;;6,0;1;0,597;14;0,066;0,080;;;0,8873
F01F;O;Impl. Kardioverter / Defibrillator (AICD), Einkammer-Stimulation, ohne zusätzl. Herz- od. Gefäßeingriff, ohne IntK > 392 / 368 / - P., ohne äuß. schw. CC, ohne aufw. Sondenentf., ohne Impl. Drucksens. in Pulmonalart., ohne Impl. Pulsgen., Alter > 17 J.;2,118;;5,2;1;0,476;13;0,064;0,077;;;0,8639
F02A;O;Aggregatwechsel eines Kardioverters / Defibrillators (AICD), Zwei- oder Dreikammer-Stimulation;1,985;;2,8;1;0,260;7;0,067;0,071;;;0,9362
F02B;O;Aggregatwechsel eines Kardioverters / Defibrillators (AICD), Einkammer-Stimulation;1,695;;2,8;1;0,237;7;0,067;0,071;;;0,9165
F03A;O;Herzklappeneingriff mit Herz-Lungen-Maschine, mit bestimmter komplizierender Konstellation oder bestimmtem Zweifacheingriff;8,051;;18,9;5;0,620;36;0,260;0,187;;;1,9693
F03B;O;Herzklappeneingriff mit Herz-Lungen-Maschine, mit Mehrfacheingriff oder Alter < 1 Jahr oder Eingriff in tiefer Hypothermie oder IntK > 392 / 368 / - Aufwandspunkte oder bestimmter anderer komplizierender Konstellation oder pulmonale Endarteriektomie;7,087;;16,8;5;0,516;31;0,243;0,174;;;1,9559
F03C;O;Herzklappeneingriff mit Herz-Lungen-Maschine, Alter > 0 J., IntK > 196 / 184 / - P. und IntK < 393 / 369 / - P., mit Zweifacheingriff od. bei angeborenem Herzfehler, mit kompl. Eingr. od. best. Herzklappeneingriff oder andere komplizierende Konstellation;5,866;;16,4;4;0,528;30;0,217;0,152;;;1,7193
F03D;O;Herzklappeneingriff mit HLM, Alter > 0 J., IntK < 197 / 185 / - P., mit Zweifacheingr. od. bei angeb. Herzfehler, oh. kompl. Eingr. oder Alter < 16 J. od. oh. Zweifacheingr., auß. bei angeb. Herzfehler, Alter > 15 J. mit Impl. klappentr. Gefäßprothese;4,640;;13,4;3;0,450;24;0,211;0,125;;;1,4223
F03E;O;Herzklappeneingriff mit Herz-Lungen-Maschine, ohne kompliz. Konst., Alter > 15 J., ohne Eingr. in tiefer Hypoth., IntK < 197 / 185 / - P., ohne Zweifacheingr., auß. bei Endokarditis, auß. b. angeb. Herzfehler, ohne Impl. klappentr. Gefäßpr.;3,841;;11,3;3;0,364;19;0,206;0,119;;;1,3567
F05Z;O;Koronare Bypass-Operation mit invasiver kardiologischer Diagnostik oder intraoperativer Ablation, mit komplizierender Konstellation oder Karotiseingriff oder bestimmte Eingriffe mit Herz-Lungen-Maschine in tiefer Hypothermie;5,695;;13,8;4;0,510;24;0,246;;x;;1,8221
F06A;O;Koronare Bypass-Operation mit bestimmten mehrzeitigen komplexen OR-Prozeduren, mit komplizierender Konstellation oder Karotiseingriff oder intensivmedizinischer Komplexbehandlung > 392 / 368 / - Aufwandspunkte;11,730;;25,0;7;0,769;43;0,256;0,237;;;2,4918
F06B;O;Koronare Bypass-Operation mit anderen mehrzeitigen komplexen OR-Prozeduren, ohne komplizierende Konstellation, ohne Karotiseingriff, ohne intensivmedizinische Komplexbehandlung > 392 / 368 / - Aufwandspunkte;7,513;;25,5;8;0,374;44;0,189;0,127;;;1,3598
F06C;O;Koronare Bypass-Operation ohne mehrzeitige komplexe OR-Prozeduren, mit kompl. Konstellation oder IntK > 392 / 368 / - Aufwandspunkte oder Karotiseingriff;5,834;;16,8;5;0,535;31;0,207;;x;;2,0023
F06D;O;Koronare Bypass-Operation ohne mehrzeitige komplexe OR-Prozeduren, ohne komplizierende Konstellation, mit invasiver kardiologischer Diagnostik oder mit intraoperativer Ablation oder schwersten CC oder Implantation eines herzunterstützenden Systems;4,289;;13,4;3;0,477;24;0,205;;x;;1,5593
F06E;O;Koronare Bypass-Operation ohne mehrzeitige komplexe OR-Prozeduren, ohne komplizierende Konstellation, ohne invasive kardiologische Diagnostik, ohne intraoperative Ablation, ohne schwerste CC, ohne Implantation eines herzunterstützenden Systems;3,533;;11,0;3;0,373;18;0,215;;x;;1,4475
F07A;O;Andere Eingriffe mit Herz-Lungen-Maschine, Alter < 1 Jahr oder mit best. kompliz. Konstellation oder komp. Operation oder IntK > - / 368 /- P. oder Alter < 18 Jahre mit Reop. Herz od. Perikard oder and. kompliz. Konstellation, mit best. kompl. Eingriffen;6,585;;15,4;4;0,655;30;0,277;0,200;;;2,2687
F07B;O;And. Eingr. mit HLM, Alter < 1 J. od. mit best. kompl. Konst. od. IntK > -/368 /- P., oh. best. kompl. Eingr. od. Alter > 0 J., IntK < -/369/- P., m. and. kompl. Eingr. mit Reop. Herz od. Perik. od. mit best. and. kompliz. Konst. od. mit best. Aortklers.;5,270;;14,9;4;0,468;29;0,230;0,147;;;1,6061
F07C;O;Andere Eingr. mit HLM, Alter > 0 J., IntK < - / 369/- P. oder Alter > 17 J. od. ohne Reop. od. ohne and. kompliz. Konst., ohne and. kompl. Eingriffe od. ohne Reop. an Herz od. Perikard od. ohne best. and. kompliz. Konst. od. ohne best. Aortklers.;4,092;;11,7;3;0,417;21;0,217;0,131;;;1,5106
F08A;O;Rekonstruktive Gefäßeingriffe mit komplizierender Konstellation oder komplexe Vakuumbehandlung oder komplexer Aorteneingriff;8,553;;35,3;11;0,358;53;0,085;0,118;;;1,1682
F08B;O;Rekonstruktive Gefäßeingriffe ohne komplizierende Konstellationen, ohne komplexe Vakuumbehandlung, ohne komplexen Aorteneingriff, mit komplexem Eingriff mit Mehretagen- oder Aorteneingriff oder Re-OP oder bestimmten Bypässen, mit äußerst schweren CC;5,239;;23,8;7;0,328;42;0,077;0,106;;;1,0726
F08C;O;Rekonstruktive Gefäßeingriffe ohne kompl. Konst., ohne kompl. Vakuumbeh., ohne kompl. Aorteneingriff, mit kompl. Eingriff ohne Mehretagen- od. Aorteneingriff, ohne Reop., ohne bestimmten Bypass, mit äußerst schweren CC oder mit bestimmtem Aorteneingriff;4,174;;20,0;6;0,293;38;0,072;0,098;;;0,9295
F08D;O;Rekonstruktive Gefäßeingriffe ohne kompl. Konst., ohne kompl. Aorteneingriff, mit kompl. Eingr. mit Mehretagen- oder Aorteneingriff oder Reop. oder best. Byp., ohne äuß. schw. CC, ohne best. Aorteneingriff oder bestimmter Bypass mit äußerst schweren CC;3,023;;14,1;4;0,263;27;0,065;0,087;;;0,9029
F08E;O;Rekonstruktive Gefäßeingriffe ohne kompl. Konst., ohne kompl. Vakuumbeh., ohne kompl. Aorteneingriff, mit komplex. Eingriff, ohne Mehretagen- oder Aorteneingriff, ohne Reop., ohne bestimmten Bypass, ohne äußerst schwere CC, ohne bestimmten Aorteneingriff;2,444;;11,1;3;0,238;22;0,060;0,079;;;0,7712
F08F;O;Rekonstruktive Gefäßeingriffe ohne komplizierende Konstellation, ohne komplexe Vakuumbehandlung, ohne komplexen Aorteneingriff, ohne komplexen Eingriff, ohne bestimmten Aorteneingriff, mit bestimmtem Eingriff;1,995;;9,7;2;0,261;19;0,056;0,073;;;0,7158
F08G;O;Rekonstruktive Gefäßeingriffe ohne komplizierende Konstellation, ohne komplexe Vakuumbehandlung, ohne komplexen Aorteneingriff, ohne komplexen Eingriff, ohne bestimmten Aorteneingriff, ohne bestimmten Eingriff;1,763;;7,7;2;0,213;14;0,058;0,074;;;0,7381
F09A;O;Andere kardiothorakale Eingriffe ohne Herz-Lungen-Maschine, Alter < 16 Jahre, mit komplizierender Konstellation oder Exzision am Vorhof;3,472;;11,0;3;0,425;22;0,154;0,141;;;1,6783
F09B;O;Andere kardiothorakale Eingriffe ohne Herz-Lungen-Maschine, Alter > 15 J., ohne komplizierende Konstellation, ohne Exzision am Vorhof, mit mäßig komplexen kardiothorakalen Eingriffen mit äußerst schweren CC oder mit chirurg. epikard. Ablationsverfahren;3,369;;12,3;3;0,416;25;0,095;0,125;;;1,4281
F09C;O;Andere kardiothorakale Eingriffe ohne Herz-Lungen-Maschine, Alter > 15 J., ohne komplizierende Konstellation, ohne Exzision am Vorhof, ohne äuß. schwere CC oder ohne mäßig komplexe kardiothorakale Eingriffe, ohne chirurgische epikard. Ablationsverfahren;2,106;;8,5;2;0,358;19;0,088;0,113;;;1,2875
F12A;O;Implantation eines Herzschrittmachers, Dreikammersystem mit äuß. schw. CC oder ablativ. Maßnahmen oder PTCA oder mit aufwendiger Sondenentfernung mit kompliz. Faktoren oder mit Revision eines Herzschrittm. oder AICD ohne Aggregatw. mit kompliz. Faktoren;3,451;;13,4;3;0,309;27;0,065;0,086;;;1,0294
F12B;O;Implantation eines Herzschrittmachers, Dreikammersystem ohne äußerst schwere CC, ohne ablative Maßnahme, ohne PTCA oder Implantation eines Herzschrittmachers ohne aufwendige Sondenentfernung mit komplizierenden Faktoren;2,335;;5,8;1;0,679;14;0,063;0,077;;;0,8672
F12C;O;Implantation eines Herzschrittmachers, Zweikammersystem, mit komplexem Eingriff oder Alter < 16 Jahre;2,464;;8,9;2;0,298;19;0,070;0,090;;;1,1181
F12D;O;Implantation eines Herzschrittmachers, Zweikammersystem, ohne komplexen Eingriff, Alter > 15 Jahre, mit äußerst schweren CC oder isolierter offen chirurgischer Sondenimplantation oder aufwendiger Sondenentfernung oder mäßig komplexer PTCA;2,214;;11,7;3;0,305;24;0,073;0,096;;;1,1627
F12E;O;Implantation eines Herzschrittmachers, Einkammersystem oder Impl. Ereignisrekorder, Alter > 15 Jahre, mit invasiver kardiologischer Diagnostik bei bestimmten Eingriffen;1,716;;7,9;2;0,234;17;0,063;0,079;;;0,7924
F12F;O;Impl. HSM, Zweikammersys., oh. äuß. schwere CC, oh. isol. offen chir. Sondenimpl., oh. aufw. Sondenentf., oh. mäßig kompl. PTCA od. Impl. HSM, Einkammersys. od. Impl. Ereignisrekorder, oh. invasive kardiol. Diagnostik bei best. Eingriffen, Alter > 15 J.;1,230;;5,5;1;0,403;13;0,067;0,081;;;0,9052
F13A;O;Amputation bei Kreislauferkrankungen an oberer Extremität und Zehen mit äußerst schweren CC und mehrzeitigen Revisions- oder Rekonstruktionseingriffen;4,353;;36,8;11;0,238;55;0,054;0,076;;;0,8357
F13B;O;Amputation bei Kreislauferkrankungen an oberer Extremität und Zehen mit äußerst schweren CC, ohne mehrzeitige Revisions- oder Rekonstruktionseingriffe;1,857;;17,1;5;0,242;33;0,059;0,080;;;0,8554
F13C;O;Amputation bei Kreislauferkrankungen an oberer Extremität und Zehen ohne äußerst schwere CC;1,316;;12,3;3;0,238;25;0,054;0,071;;;0,7194
F14A;O;Komplexe oder mehrfache Gefäßeingriffe außer große rekonstruktive Eingriffe mit äußerst schweren CC;3,900;;22,0;6;0,300;40;0,067;0,091;;;0,9239
F14B;O;Komplexe oder mehrfache Gefäßeingriffe außer große rekonstruktive Eingriffe, ohne äußerst schwere CC;2,241;;11,9;3;0,263;24;0,062;0,082;;;0,7646
F15Z;O;Perkutane Koronarangioplastie mit komplizierender Konstellation mit komplexer Diagn. u. hochkompl. Intervention od. m. best. Rekanalisationsverf., Alt. < 16 J. od. inv. kardiolog. Diagnostik, mit kompliz. Konst. od. Endokarditis, mehr als 2 Belegungstage;2,859;;16,8;5;0,363;33;0,091;0,123;;;1,4569
F17A;O;Wechsel eines Herzschrittmachers, Dreikammersystem oder Alter < 16 Jahre;1,396;;2,9;1;0,210;7;0,071;0,075;;;0,9859
F17B;O;Wechsel eines Herzschrittmachers, Einkammer- oder Zweikammersystem, Alter > 15 Jahre;0,717;;2,8;1;0,089;6;0,063;0,066;;;0,8866
F18A;O;Revision eines Herzschrittmachers oder Kardioverters / Defibrillators (AICD) ohne Aggregatwechsel, Alter < 16 Jahre oder mit äußerst schweren CC, mit komplexem Eingriff oder mit aufwendiger Sondenentfernung;2,777;;11,5;3;0,279;26;0,097;0,090;;;1,0955
F18B;O;Revision Herzschrittmacher od. Kardioverter / Defibrillator (AICD) oh. Aggregatw., Alt. < 16 J. od. mit äuß. schw. CC, oh. kompl. Eingr., oh. aufwend. Sondenentf. od. Alt. > 15 J., oh. äuß. schw. CC mit kompl. Eingr., mit intralum. exp. Extraktionshilfe;1,757;;10,1;2;0,320;22;0,066;0,086;;;0,9500
F18C;O;Revision eines Herzschrittmachers oder Kardioverters / Defibrillators (AICD) ohne Aggregatwechsel, Alter > 15 Jahre, ohne äußerst schwere CC, ohne aufwendige Sondenentfernung, mit komplexem Eingriff, ohne intraluminale expandierende Extraktionshilfe;1,170;;4,4;1;0,385;11;0,068;0,079;;;0,9280
F18D;O;Revision eines Herzschrittmachers oder Kardioverters / Defibrillators (AICD) ohne Aggregatwechsel, Alter > 15 Jahre, ohne äußerst schwere CC, ohne aufwendige Sondenentfernung, ohne komplexen Eingriff;0,645;;3,3;1;0,351;8;0,065;0,071;;;0,9090
F19A;O;Andere transluminale Intervention an Herz, Aorta und Lungengefäßen mit äußerst schweren CC;3,174;;12,3;3;0,412;26;0,093;0,124;;;1,3676
F19B;O;Andere transluminale Intervention an Herz, Aorta und Lungengefäßen ohne äußerst schwere CC;1,595;;4,3;1;0,381;11;0,074;0,086;;;1,0801
F20Z;O;Beidseitige Unterbindung und Stripping von Venen mit bestimmter Diagnose oder äußerst schweren oder schweren CC;0,972;;4,7;1;0,198;14;0,059;0,070;;;0,6416
F21A;O;Andere OR-Prozeduren bei Kreislauferkrankungen mit hochkomplexem Eingriff oder komplizierender Konstellation;4,842;;29,4;9;0,267;47;0,064;0,088;;;0,9776
F21B;O;Andere OR-Prozeduren bei Kreislauferkrankungen ohne hochkomplexen Eingriff, mit komplexem Eingriff oder bestimmter komplizierender Konstellation;3,181;;20,9;6;0,286;38;0,067;0,091;;;0,9654
F21C;O;Andere OR-Prozeduren bei Kreislauferkrankungen ohne komplexen Eingriff, mit mäßig komplexem Eingriff oder anderer komplizierender Konstellation oder IntK > 196 / 184 / 368 Punkte;1,760;;16,9;5;0,200;33;0,050;0,067;;;0,7675
F21D;O;Andere OR-Prozeduren bei Kreislauferkrankungen ohne komplexen Eingriff, ohne komplizierende Konstellationen, ohne IntK > 196 / 184 / 368 Punkte, ohne mäßig komplexen Eingriff, mit bestimmtem anderen Eingriff;1,194;;11,1;3;0,220;24;0,055;0,073;;;0,8107
F21E;O;Andere OR-Prozeduren bei Kreislauferkrankungen ohne komplexen Eingriff, ohne komplizierende Konstellationen, ohne IntK > 196 / 184 / 368 Punkte, ohne mäßig komplexen Eingriff, ohne bestimmten anderen Eingriff;0,873;;9,7;2;0,247;20;0,054;0,070;;;0,7139
F24A;O;Perkutane Koronarangioplastie mit komplexer Diagnose und hochkomplexer Intervention oder mit bestimmten Rekanalisationsverfahren, Alter > 15 Jahre, mit äußerst schweren CC;2,621;;14,2;4;0,340;28;0,084;0,112;;;1,4134
F24B;O;Perkutane Koronarangioplastie mit komplexer Diagnose und hochkomplexer Intervention oder mit bestimmten Rekanalisationsverfahren, Alter > 15 Jahre, ohne äußerst schwere CC;1,399;;5,8;1;0,557;12;0,076;0,092;;;1,0723
F27A;O;Verschiedene Eingriffe bei Diabetes mellitus mit Komplikationen, mit äußerst schweren CC oder Gefäßeingriff oder bestimmter Amputation oder komplexer Arthrodese des Fußes oder komplexem Hauteingriff;2,377;;21,2;6;0,229;39;0,053;0,072;;;0,8179
F27B;O;Verschiedene Eingriffe bei Diabetes mellitus mit Komplikationen, ohne äußerst schwere CC, ohne Gefäßeingriff, ohne bestimmte Amputation, ohne komplexe Arthrodese des Fußes, ohne komplexen Hauteingriff, mit mäßig komplexem Eingriff;1,364;;13,7;4;0,204;27;0,052;0,069;;;0,6858
F27C;O;Verschiedene Eingriffe bei Diabetes mellitus mit Komplikationen, ohne äußerst schwere CC, ohne Gefäßeingriff, ohne bestimmte Amputation, ohne komplexe Arthrodese des Fußes, ohne mäßig komplexen Eingriff, mit bestimmtem aufwendigen Eingriff;1,238;;12,6;3;0,254;25;0,056;0,075;;;0,7813
F28A;O;Amputation mit zusätzlichem Gefäßeingriff oder mit Hauttransplantation, mit äußerst schweren oder schweren CC;3,620;;24,8;7;0,274;43;0,062;0,085;;;0,8723
F28B;O;Amputation bei Kreislauferkrankungen außer an oberer Extremität und Zehen, ohne Gefäßeingriff, ohne Hauttransplantation, mit äußerst schweren oder schweren CC;2,051;;19,7;6;0,212;37;0,053;0,072;;;0,8823
F28C;O;Amputation bei Kreislauferkrankungen außer an oberer Extremität und Zehen, ohne Gefäßeingriff, ohne äußerst schwere oder schwere CC;1,718;;16,3;4;0,248;32;0,053;0,072;;;0,8235
F30Z;O;Operation bei komplexem angeborenen Herzfehler oder Hybridchirurgie bei Kindern;5,521;;13,5;4;0,559;25;0,271;0,193;;;2,5467
F36A;O;Intensivmedizinische Komplexbehandlung bei Krankheiten und Störungen des Kreislaufsystems mit komplizierenden Faktoren, > 1176 / 1380 / - Aufwandspunkte oder > 588 / 828 / 1104 Aufwandspunkte mit aufwendigem Eingriff;13,923;;35,3;11;0,856;53;0,290;;x;x;3,2847
