ZE;Bezeichnung;OPS-Kode;OPS-Text
ZE2021-61;Neurostimulatoren zur Hirn- oder Rückenmarkstimulation oder zur Stimulation des peripheren Nervensystems, Mehrkanalstimulator, wiederaufladbar;5-028.c2;Funktionelle Eingriffe an Schädel, Gehirn und Hirnhäuten: Implantation eines Neurostimulators zur Hirnstimulation ohne Implantation einer Neurostimulationselektrode: Mehrkanalstimulator, vollimplantierbar, mit wiederaufladbarem Akkumulator
ZE2021-61;Neurostimulatoren zur Hirn- oder Rückenmarkstimulation oder zur Stimulation des peripheren Nervensystems, Mehrkanalstimulator, wiederaufladbar;5-039.e2;Implantation oder Wechsel eines Neurostimulators zur epiduralen Rückenmarkstimulation mit Implantation oder Wechsel einer Neurostimulationselektrode: Mehrkanalstimulator, vollimplantierbar, mit wiederaufladbarem Akkumulator
ZE2021-61;Neurostimulatoren zur Hirn- oder Rückenmarkstimulation oder zur Stimulation des peripheren Nervensystems, Mehrkanalstimulator, wiederaufladbar;5-039.f2;Wechsel eines Neurostimulators zur epiduralen Rückenmarkstimulation ohne Wechsel einer Neurostimulationselektrode: Mehrkanalstimulator, vollimplantierbar, mit wiederaufladbarem Akkumulator
ZE2021-61;Neurostimulatoren zur Hirn- oder Rückenmarkstimulation oder zur Stimulation des peripheren Nervensystems, Mehrkanalstimulator, wiederaufladbar;5-039.n2;Implantation eines Neurostimulators zur epiduralen Rückenmarkstimulation ohne Implantation einer Neurostimulationselektrode: Mehrkanalstimulator, vollimplantierbar, mit wiederaufladbarem Akkumulator
ZE2021-61;Neurostimulatoren zur Hirn- oder Rückenmarkstimulation oder zur Stimulation des peripheren Nervensystems, Mehrkanalstimulator, wiederaufladbar;5-059.cc;Implantation oder Wechsel eines Neurostimulators zur Stimulation des peripheren Nervensystems mit Implantation oder Wechsel einer Neurostimulationselektrode: Mehrkanalstimulator, vollimplantierbar, mit wiederaufladbarem Akkumulator
ZE2021-61;Neurostimulatoren zur Hirn- oder Rückenmarkstimulation oder zur Stimulation des peripheren Nervensystems, Mehrkanalstimulator, wiederaufladbar;5-059.cd;Implantation oder Wechsel eines Neurostimulators zur Stimulation des peripheren Nervensystems mit Implantation oder Wechsel einer Neurostimulationselektrode: Mehrkanalstimulator, vollimplantierbar, mit elektromagnetischer Energieübertragung, induktiv
ZE2021-61;Neurostimulatoren zur Hirn- oder Rückenmarkstimulation oder zur Stimulation des peripheren Nervensystems, Mehrkanalstimulator, wiederaufladbar;5-059.dc;Wechsel eines Neurostimulators zur Stimulation des peripheren Nervensystems ohne Wechsel einer Neurostimulationselektrode: Mehrkanalstimulator, vollimplantierbar, mit wiederaufladbarem Akkumulator
ZE2021-61;Neurostimulatoren zur Hirn- oder Rückenmarkstimulation oder zur Stimulation des peripheren Nervensystems, Mehrkanalstimulator, wiederaufladbar;5-059.dd;Wechsel eines Neurostimulators zur Stimulation des peripheren Nervensystems ohne Wechsel einer Neurostimulationselektrode: Mehrkanalstimulator, vollimplantierbar, mit elektromagnetischer Energieübertragung, induktiv
ZE2021-61;Neurostimulatoren zur Hirn- oder Rückenmarkstimulation oder zur Stimulation des peripheren Nervensystems, Mehrkanalstimulator, wiederaufladbar;5-059.g3;Implantation eines Neurostimulators zur Stimulation des peripheren Nervensystems ohne Implantation einer Neurostimulationselektrode: Mehrkanalstimulator, vollimplantierbar, mit wiederaufladbarem Akkumulator
ZE2021-61;Neurostimulatoren zur Hirn- oder Rückenmarkstimulation oder zur Stimulation des peripheren Nervensystems, Mehrkanalstimulator, wiederaufladbar;5-059.g4;Implantation eines Neurostimulators zur Stimulation des peripheren Nervensystems ohne Implantation einer Neurostimulationselektrode: Mehrkanalstimulator, vollimplantierbar, mit elektromagnetischer Energieübertragung, induktiv
ZE2021-62;Mikroaxial-Blutpumpe;8-839.46;Andere therapeutische Katheterisierung und Kanüleneinlage in Herz und Blutgefäße: Implantation oder Entfernung einer transvasal platzierten axialen Pumpe zur Kreislaufunterstützung: Implantation einer linksventrikulären axialen Pumpe
ZE2021-62;Mikroaxial-Blutpumpe;8-839.47;Andere therapeutische Katheterisierung und Kanüleneinlage in Herz und Blutgefäße: Implantation oder Entfernung einer transvasal platzierten axialen Pumpe zur Kreislaufunterstützung: Implantation einer rechtsventrikulären axialen Pumpe
ZE2021-63;Gabe von Dibotermin alfa, Implantation am Knochen;6-003.4*;Applikation von Medikamenten, Liste 3: Dibotermin alfa, Implantation am Knochen
ZE2021-64,;Gabe von Eptotermin alfa, Implantation am Knochen;6-003.5*;Applikation von Medikamenten, Liste 3: Eptotermin alfa, Implantation am Knochen
ZE2021-65;Selektive intravaskuläre Radionuklidtherapie [SIRT] mit Yttrium-90- oder Rhenium-188- oder Holmium-166-markierten Mikrosphären;8-530.a5;Therapie mit offenen Radionukliden: Intraarterielle Therapie mit offenen Radionukliden: Selektive intravaskuläre Radionuklidtherapie [SIRT] mit Yttrium-90-markierten Mikrosphären
ZE2021-65;Selektive intravaskuläre Radionuklidtherapie [SIRT] mit Yttrium-90- oder Rhenium-188- oder Holmium-166-markierten Mikrosphären;8-530.a6;Therapie mit offenen Radionukliden: Intraarterielle Therapie mit offenen Radionukliden: Selektive intravaskuläre Radionuklidtherapie [SIRT] mit Rhenium-188-markierten Mikrosphären
ZE2021-65;Selektive intravaskuläre Radionuklidtherapie [SIRT] mit Yttrium-90- oder Rhenium-188- oder Holmium-166-markierten Mikrosphären;8-530.a8;Therapie mit offenen Radionukliden: Intraarterielle Therapie mit offenen Radionukliden: Selektive intravaskuläre Radionuklidtherapie [SIRT] mit Holmium-166-markierten Mikrosphären
ZE2021-66;Enzymersatztherapie bei lysosomalen Speicherkrankheiten;6-003.7;Applikation von Medikamenten, Liste 3: Enzymersatztherapie bei lysosomalen Speicherkrankheiten
ZE2021-67;Implantation einer Stent-Prothese an der Aorta, perkutan-transluminal;8-840.*4;(Perkutan-)transluminale Implantation von nicht medikamentefreisetzenden Stents: Aorta
ZE2021-67;Implantation einer Stent-Prothese an der Aorta, perkutan-transluminal;8-841.*4;(Perkutan-)transluminale Implantation von medikamentefreisetzenden Stents: Aorta
ZE2021-67;Implantation einer Stent-Prothese an der Aorta, perkutan-transluminal;8-843.*4;(Perkutan-)transluminale Implantation von bioresorbierbaren Stents: Aorta
ZE2021-67;Implantation einer Stent-Prothese an der Aorta, perkutan-transluminal;8-849.*4;(Perkutan-)transluminale Implantation von anderen ungecoverten großlumigen Stents: Aorta
ZE2021-67;Implantation einer Stent-Prothese an der Aorta, perkutan-transluminal;8-84a.*4;(Perkutan-)transluminale Implantation von anderen gecoverten großlumigen Stents: Aorta
ZE2021-67;Implantation einer Stent-Prothese an der Aorta, perkutan-transluminal;8-84b.*4;(Perkutan-)transluminale Implantation von Stents zur Strömungslaminierung bei Aneurysmen: Aorta
ZE2021-69;Gabe von Hämin, parenteral;6-004.1*;Applikation von Medikamenten, Liste 4: Hämin, parenteral
ZE2021-70;Radioimmuntherapie mit 90Y-Ibritumomab-Tiuxetan, parenteral;6-003.6;Applikation von Medikamenten, Liste 3: Ibritumomab Tiuxetan (90Y), parenteral
ZE2021-71;Radiorezeptortherapie mit DOTA-konjugierten Somatostatinanaloga;8-530.61;Therapie mit offenen Radionukliden: Intravenöse Therapie mit radioaktiven rezeptorgerichteten Substanzen: Radiorezeptortherapie mit Chelator-konjugierten Somatostatinanaloga aus patientenindividueller Eigenherstellung
ZE2021-71;Radiorezeptortherapie mit DOTA-konjugierten Somatostatinanaloga;8-530.62;Therapie mit offenen Radionukliden: Intravenöse Therapie mit radioaktiven rezeptorgerichteten Substanzen: Radiorezeptortherapie mit Chelator-konjugierten Somatostatinanaloga aus nicht patientenindividueller Herstellung
ZE2021-71;Radiorezeptortherapie mit DOTA-konjugierten Somatostatinanaloga;8-530.a0;Therapie mit offenen Radionukliden: Intraarterielle Therapie mit offenen Radionukliden: Intraarterielle Radiorezeptortherapie mit DOTA-konjugierten Somatostatinanaloga
ZE2021-72;Distraktionsmarknagel, motorisiert;5-786.j1;Osteosyntheseverfahren: Durch internes Verlängerungs- oder Knochentransportsystem: Motorisiert
ZE2021-72;Distraktionsmarknagel, motorisiert;5-78a.j1;Revision von Osteosynthesematerial mit Reosteosynthese: Durch internes Verlängerungs- oder Knochentransportsystem: Motorisiert
ZE2021-74;Gabe von Sunitinib, oral;6-003.a*;Applikation von Medikamenten, Liste 3: Sunitinib, oral
ZE2021-75;Gabe von Sorafenib, oral;6-003.b*;Applikation von Medikamenten, Liste 3: Sorafenib, oral
ZE2021-77;Gabe von Lenalidomid, oral;6-003.g*;Applikation von Medikamenten, Liste 3: Lenalidomid, oral
ZE2021-79;Gabe von Nelarabin, parenteral;6-003.e*;Applikation von Medikamenten, Liste 3: Nelarabin, parenteral
ZE2021-80,;Gabe von Amphotericin-B-Lipidkomplex, parenteral;6-003.1*;Applikation von Medikamenten, Liste 3: Amphotericin-B-Lipidkomplex, parenteral
ZE2021-82,;Peritonealdialyse, kontinuierlich, maschinell unterstützt (APD);8-857.2*;Peritonealdialyse: Kontinuierlich, maschinell unterstützt (APD), mit Zusatzgeräten
ZE2021-84;Gabe von Ambrisentan, oral;6-004.2*;Applikation von Medikamenten, Liste 4: Ambrisentan, oral
ZE2021-85;Gabe von Temsirolimus, parenteral;6-004.e*;Applikation von Medikamenten, Liste 4: Temsirolimus, parenteral
ZE2021-86;Andere Neurostimulatoren und Neuroprothesen;5-029.4;Andere Operationen an Schädel, Gehirn und Hirnhäuten: Implantation oder Wechsel einer Neuroprothese
ZE2021-86;Andere Neurostimulatoren und Neuroprothesen;5-039.g;Andere Operationen an Rückenmark und Rückenmarkstrukturen: Implantation oder Wechsel eines Neurostimulators zur Vorderwurzelstimulation mit Implantation oder Wechsel einer subduralen Elektrode
ZE2021-86;Andere Neurostimulatoren und Neuroprothesen;5-039.h;Andere Operationen an Rückenmark und Rückenmarkstrukturen: Wechsel eines Neurostimulators zur Vorderwurzelstimulation ohne Wechsel einer subduralen Elektrode
ZE2021-86;Andere Neurostimulatoren und Neuroprothesen;5-039.p;Andere Operationen an Rückenmark und Rückenmarkstrukturen: Implantation eines Neurostimulators zur Vorderwurzelstimulation ohne Implantation einer subduralen Elektrode
ZE2021-86;Andere Neurostimulatoren und Neuroprothesen;5-059.5*;Andere Operationen an Nerven und Ganglien: Implantation einer peripheren Neuroprothese
ZE2021-86;Andere Neurostimulatoren und Neuroprothesen;5-059.c4;Implantation oder Wechsel eines Neurostimulators zur Stimulation des peripheren Nervensystems mit Implantation oder Wechsel einer Neurostimulationselektrode: Kardiales Vagusnervstimulationssystem
ZE2021-86;Andere Neurostimulatoren und Neuroprothesen;5-059.c6;Implantation oder Wechsel eines Neurostimulators zur Stimulation des peripheren Nervensystems mit Implantation oder Wechsel einer Neurostimulationselektrode: System zur Barorezeptoraktivierung
ZE2021-86;Andere Neurostimulatoren und Neuroprothesen;5-059.cb;Implantation oder Wechsel eines Neurostimulators zur Stimulation des peripheren Nervensystems mit Implantation oder Wechsel einer Neurostimulationselektrode: System zur Phrenikusnerv-Stimulation
ZE2021-86;Andere Neurostimulatoren und Neuroprothesen;5-059.d4;Wechsel eines Neurostimulators zur Stimulation des peripheren Nervensystems ohne Wechsel einer Neurostimulationselektrode: Kardiales Vagusnervstimulationssystem
ZE2021-86;Andere Neurostimulatoren und Neuroprothesen;5-059.d6;Wechsel eines Neurostimulators zur Stimulation des peripheren Nervensystems ohne Wechsel einer Neurostimulationselektrode: System zur Barorezeptoraktivierung
ZE2021-86;Andere Neurostimulatoren und Neuroprothesen;5-059.db;Wechsel eines Neurostimulators zur Stimulation des peripheren Nervensystems ohne Wechsel einer Neurostimulationselektrode: System zur Phrenikusnerv-Stimulation
ZE2021-88;Komplexe neuropädiatrische Diagnostik mit weiteren Maßnahmen;1-942.1;Komplexe neuropädiatrische Diagnostik: Mit neurometabolischer Labordiagnostik und/oder infektiologischer/autoimmunentzündlicher Labordiagnostik
ZE2021-88;Komplexe neuropädiatrische Diagnostik mit weiteren Maßnahmen;1-942.2;Komplexe neuropädiatrische Diagnostik: Mit erweiterter genetischer Diagnostik
ZE2021-88;Komplexe neuropädiatrische Diagnostik mit weiteren Maßnahmen;1-942.3;Komplexe neuropädiatrische Diagnostik: Mit neurometabolischer Labordiagnostik und/oder infektiologischer/autoimmunentzündlicher Labordiagnostik und erweiterter genetischer Diagnostik
ZE2021-91;Gabe von Dasatinib, oral;6-004.3*;Applikation von Medikamenten, Liste 4: Dasatinib, oral
ZE2021-97,;Behandlung von Blutern mit Blutgerinnungsfaktoren;8-810.6*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Rekombinanter aktivierter Faktor VII
ZE2021-97,;Behandlung von Blutern mit Blutgerinnungsfaktoren;8-810.7*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Plasmatischer Faktor VII
ZE2021-97,;Behandlung von Blutern mit Blutgerinnungsfaktoren;8-810.8*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Rekombinanter Faktor VIII
ZE2021-97,;Behandlung von Blutern mit Blutgerinnungsfaktoren;8-810.9*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Plasmatischer Faktor VIII
ZE2021-97,;Behandlung von Blutern mit Blutgerinnungsfaktoren;8-810.a*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Rekombinanter Faktor IX
ZE2021-97,;Behandlung von Blutern mit Blutgerinnungsfaktoren;8-810.b*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Plasmatischer Faktor IX
ZE2021-97,;Behandlung von Blutern mit Blutgerinnungsfaktoren;8-810.c*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: FEIBA - Prothrombinkomplex mit Faktor-VIII-Inhibitor-Bypass-Aktivität
ZE2021-97,;Behandlung von Blutern mit Blutgerinnungsfaktoren;8-810.d*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Von-Willebrand-Faktor
ZE2021-97,;Behandlung von Blutern mit Blutgerinnungsfaktoren;8-810.e*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Faktor XIII
ZE2021-97,;Behandlung von Blutern mit Blutgerinnungsfaktoren;8-810.j*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Fibrinogenkonzentrat
ZE2021-97,;Behandlung von Blutern mit Blutgerinnungsfaktoren;8-812.5*;Transfusion von Plasma und anderen Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Prothrombinkomplex
ZE2021-97,;Behandlung von Blutern mit Blutgerinnungsfaktoren;8-812.9*;Transfusion von Plasma und anderen Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Humanes Protein C, parenteral
ZE2021-97,;Behandlung von Blutern mit Blutgerinnungsfaktoren;8-812.a*;Transfusion von Plasma und anderen Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Plasmatischer Faktor X
ZE2021-99;Fremdbezug von Donor-Lymphozyten;;Fremdbezug von Donor-Lymphozyten über Spenderdateien bei nicht-verwandten Spendern oder Bezug von Donor-Lymphozyten von außerhalb Deutschlands bei Familienspendern
ZE2021-101;Gabe von Mifamurtid, parenteral;6-005.g*;Applikation von Medikamenten, Liste 5: Mifamurtid, parenteral
ZE2021-103;Gabe von Rituximab, subkutan;6-001.j*;Applikation von Medikamenten, Liste 1: Rituximab, subkutan
ZE2021-104;Gabe von Trastuzumab, subkutan;6-001.m*;Applikation von Medikamenten, Liste 1: Trastuzumab, subkutan
ZE2021-106;Gabe von Abatacept, subkutan;6-003.t*;Applikation von Medikamenten, Liste 3: Abatacept, subkutan
ZE2021-107;Medikamente-freisetzende bioresorbierbare Koronarstents;8-83d.0*;Andere perkutan-transluminale Gefäßintervention an Herz und Koronargefäßen: Einlegen eines medikamentefreisetzenden bioresorbierbaren Stents
ZE2021-108;Implantation einer Irisprothese;5-137.6;Andere Operationen an der Iris: Operation mit Implantation eines künstlichen Irisdiaphragmas
ZE2021-109,;Dialyse mit High-Cut-off-Dialysemembran;8-854.8;Hämodialyse: Verlängert intermittierend, zur Elimination von Proteinen mit einer Molekularmasse bis 60.000
ZE2021-110;Gabe von Tocilizumab, subkutan;6-005.n*;Applikation von Medikamenten, Liste 5: Tocilizumab, subkutan
ZE2021-111;Gabe von Paclitaxel, als an Albumin gebundene Nanopartikel, parenteral;6-005.d*;Applikation von Medikamenten, Liste 5: Paclitaxel, als an Albumin gebundene Nanopartikel, parenteral
ZE2021-112;Gabe von Abirateron, oral;6-006.2*;Applikation von Medikamenten, Liste 6: Abirateron, oral
ZE2021-113;Gabe von Cabazitaxel, parenteral;6-006.1*;Applikation von Medikamenten, Liste 6: Cabazitaxel, parenteral
ZE2021-115;Molekulares Monitoring der Resttumorlast [MRD]: Molekulargenetische Identifikation und Herstellung von patientenspezifischen Markern;1-991.0;Molekulares Monitoring der Resttumorlast [MRD]: Molekulargenetische Identifikation und Herstellung von patientenspezifischen Markern für die Bestimmung der Resttumorlast (Minimal Residual Diseases (MRD))
ZE2021-116;Molekulares Monitoring der Resttumorlast [MRD]: Patientenspezifische molekulargenetische Quantifizierung;1-991.1;Molekulares Monitoring der Resttumorlast [MRD]: Patientenspezifische molekulargenetische Quantifizierung der Resttumorlast (MRD-Monitoring)
ZE2021-117;Chemosaturations-Therapie mittels perkutaner Leberperfusion;8-549.01;Perkutane geschlossene Organperfusion mit Chemotherapeutika: Leber: Mit externem Blutfilter
ZE2021-118;Neurostimulatoren zur Hirnstimulation, Einkanalstimulator;5-028.90;Implantation oder Wechsel eines Neurostimulators zur Hirnstimulation mit Implantation oder Wechsel einer Neurostimulationselektrode: Einkanalstimulator, vollimplantierbar, nicht wiederaufladbar
ZE2021-118;Neurostimulatoren zur Hirnstimulation, Einkanalstimulator;5-028.a0;Wechsel eines Neurostimulators zur Hirnstimulation ohne Wechsel einer Neurostimulationselektrode: Einkanalstimulator, vollimplantierbar, nicht wiederaufladbar
ZE2021-118;Neurostimulatoren zur Hirnstimulation, Einkanalstimulator;5-028.c0;Implantation eines Neurostimulators zur Hirnstimulation ohne Implantation einer Neurostimulationselektrode: Einkanalstimulator, vollimplantierbar, nicht wiederaufladbar
ZE2021-119;Distraktionsmarknagel, nicht motorisiert;5-786.j0;Osteosyntheseverfahren: Durch internes Verlängerungs- oder Knochentransportsystem: Nicht motorisiert
ZE2021-119;Distraktionsmarknagel, nicht motorisiert;5-78a.j0;Revision von Osteosynthesematerial mit Reosteosynthese: Durch internes Verlängerungs- oder Knochentransportsystem: Nicht motorisiert
ZE2021-120;Gabe von Pemetrexed, parenteral;6-001.c*;Applikation von Medikamenten, Liste 1: Pemetrexed, parenteral
ZE2021-121;Gabe von Etanercept, parenteral;6-002.b*;Applikation von Medikamenten, Liste 2: Etanercept, parenteral
ZE2021-122;Gabe von Imatinib, oral;6-001.g*;Applikation von Medikamenten, Liste 1: Imatinib, oral
ZE2021-123;Gabe von Caspofungin, parenteral;6-002.p*;Applikation von Medikamenten, Liste 2: Caspofungin, parenteral
ZE2021-124;Gabe von Voriconazol, oral;6-002.5*;Applikation von Medikamenten, Liste 2: Voriconazol, oral
ZE2021-125;Gabe von Voriconazol, parenteral;6-002.r*;Applikation von Medikamenten, Liste 2: Voriconazol, parenteral
ZE2021-127;Gabe von L-Asparaginase aus Erwinia chrysanthemi [Erwinase], parenteral;6-003.r*;Applikation von Medikamenten, Liste 3: L-Asparaginase aus Erwinia chrysanthemi [Erwinase], parenteral
ZE2021-128;Gabe von nicht pegylierter Asparaginase, parenteral;6-003.n*;Applikation von Medikamenten, Liste 3: Nicht pegylierte Asparaginase, parenteral
ZE2021-129;Gabe von pegylierter Asparaginase, parenteral;6-003.p*;Applikation von Medikamenten, Liste 3: Pegylierte Asparaginase, parenteral
ZE2021-130;Gabe von Belimumab, parenteral;6-006.6*;Applikation von Medikamenten, Liste 6: Belimumab, parenteral
ZE2021-131;Gabe von Defibrotid, parenteral;6-005.k*;Applikation von Medikamenten, Liste 5: Defibrotid, parenteral
ZE2021-132;Gabe von Thiotepa, parenteral;6-007.n*;Applikation von Medikamenten, Liste 7: Thiotepa, parenteral
ZE2021-133;Spezialisierte palliativmedizinische Komplexbehandlung durch einen internen Palliativdienst;8-98h.0*;Spezialisierte palliativmedizinische Komplexbehandlung durch einen Palliativdienst: Durch einen internen Palliativdienst
ZE2021-134;Spezialisierte palliativmedizinische Komplexbehandlung durch einen externen Palliativdienst;8-98h.1*;Spezialisierte palliativmedizinische Komplexbehandlung durch einen Palliativdienst: Durch einen externen Palliativdienst
ZE2021-135;Basisdiagnostik bei unklarem Symptomkomplex bei Neugeborenen und Säuglingen mit weiteren Maßnahmen;;Basisdiagnostik bei unklarem Symptomkomplex bei Neugeborenen und Säuglingen
ZE2021-135;Basisdiagnostik bei unklarem Symptomkomplex bei Neugeborenen und Säuglingen mit weiteren Maßnahmen;1-944.10;Mit erweiterter molekulargenetischer Diagnostik
ZE2021-135;Basisdiagnostik bei unklarem Symptomkomplex bei Neugeborenen und Säuglingen mit weiteren Maßnahmen;1-944.20;Mit Chromosomenanalyse (Zytogenetische Diagnostik)
ZE2021-135;Basisdiagnostik bei unklarem Symptomkomplex bei Neugeborenen und Säuglingen mit weiteren Maßnahmen;1-944.30;Mit erweiterter molekulargenetischer Diagnostik und Chromosomenanalyse (Zytogenetische Diagnostik)
ZE2021-136;Einlegen von endobronchialen Nitinolspiralen;5-339.8*;Andere Operationen an Lunge und Bronchien: Einlegen von endobronchialen Nitinolspiralen, bronchoskopisch
ZE2021-137,,;Gabe von rekombinantem aktiviertem Faktor VII;8-810.6*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Rekombinanter aktivierter Faktor VII
ZE2021-138,,;Gabe von Fibrinogenkonzentrat;8-810.j*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Fibrinogenkonzentrat
ZE2021-139,,;Gabe von Blutgerinnungsfaktoren;8-810.7*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Plasmatischer Faktor VII
ZE2021-139,,;Gabe von Blutgerinnungsfaktoren;8-810.8*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Rekombinanter Faktor VIII
ZE2021-139,,;Gabe von Blutgerinnungsfaktoren;8-810.9*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Plasmatischer Faktor VIII
ZE2021-139,,;Gabe von Blutgerinnungsfaktoren;8-810.a*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Rekombinanter Faktor IX
ZE2021-139,,;Gabe von Blutgerinnungsfaktoren;8-810.b*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Plasmatischer Faktor IX
ZE2021-139,,;Gabe von Blutgerinnungsfaktoren;8-810.c*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: FEIBA - Prothrombinkomplex mit Faktor-VIII-Inhibitor-Bypass-Aktivität
ZE2021-139,,;Gabe von Blutgerinnungsfaktoren;8-810.d*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Von-Willebrand-Faktor
ZE2021-139,,;Gabe von Blutgerinnungsfaktoren;8-810.e*;Transfusion von Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Faktor XIII
ZE2021-139,,;Gabe von Blutgerinnungsfaktoren;8-812.9*;Transfusion von Plasma und anderen Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Humanes Protein C, parenteral
ZE2021-139,,;Gabe von Blutgerinnungsfaktoren;8-812.a*;Transfusion von Plasma und anderen Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Plasmatischer Faktor X
ZE2021-140;Gabe von Brentuximab Vedotin, parenteral;6-006.b*;Applikation von Medikamenten, Liste 6: Brentuximab Vedotin, parenteral
ZE2021-141;Gabe von Enzalutamid, oral;6-007.6*;Applikation von Medikamenten, Liste 7: Enzalutamid, oral
ZE2021-142;Gabe von Aflibercept, intravenös;6-007.3*;Applikation von Medikamenten, Liste 7: Aflibercept, intravenös
ZE2021-143;Gabe von Eltrombopag, oral;6-006.0*;Applikation von Medikamenten, Liste 6: Eltrombopag, oral
ZE2021-144;Gabe von Obinutuzumab, parenteral;6-007.j*;Applikation von Medikamenten, Liste 7: Obinutuzumab, parenteral
ZE2021-145;Gabe von Ibrutinib, oral;6-007.e*;Applikation von Medikamenten, Liste 7: Ibrutinib, oral
ZE2021-146;Gabe von Ramucirumab, parenteral;6-007.m*;Applikation von Medikamenten, Liste 7: Ramucirumab, parenteral
ZE2021-147;Gabe von Bortezomib, parenteral;6-001.9*;Applikation von Medikamenten, Liste 1: Bortezomib, parenteral
ZE2021-148;Gabe von Adalimumab, parenteral;6-001.d*;Applikation von Medikamenten, Liste 1: Adalimumab, parenteral
ZE2021-149;Gabe von Infliximab, parenteral;6-001.e*;Applikation von Medikamenten, Liste 1: Infliximab, parenteral
ZE2021-150;Gabe von Busulfan, parenteral;6-002.d*;Applikation von Medikamenten, Liste 2: Busulfan, parenteral
ZE2021-151;Gabe von Rituximab, intravenös;6-001.h*;Applikation von Medikamenten, Liste 1: Rituximab, intravenös
ZE2021-152;Mehrdimensionale pädiatrische Diagnostik;1-945.*;Diagnostik bei Verdacht auf Gefährdung von Kindeswohl und Kindergesundheit
ZE2021-153;Gabe von Trastuzumab, intravenös;6-001.k*;Applikation von Medikamenten, Liste 1: Trastuzumab, intravenös
ZE2021-154;Gabe von Anidulafungin, parenteral;6-003.k*;Applikation von Medikamenten, Liste 3: Anidulafungin, parenteral
ZE2021-155,;Gabe von Palifermin, parenteral;6-003.2*;Applikation von Medikamenten, Liste 3: Palifermin, parenteral
ZE2021-156;Gabe von Posaconazol, parenteral;6-007.k*;Applikation von Medikamenten, Liste 7: Posaconazol, parenteral
ZE2021-157;Gabe von Pixantron, parenteral;6-006.e*;Applikation von Medikamenten, Liste 6: Pixantron, parenteral
ZE2021-158;Gabe von Pertuzumab, parenteral;6-007.9*;Applikation von Medikamenten, Liste 7: Pertuzumab, parenteral
ZE2021-159;Gabe von Blinatumomab, parenteral;6-008.7*;Applikation von Medikamenten, Liste 8: Blinatumomab, parenteral
ZE2021-160;Gabe von Pembrolizumab, parenteral;6-009.3*;Applikation von Medikamenten, Liste 9: Pembrolizumab, parenteral
ZE2021-161;Gabe von Nivolumab, parenteral;6-008.m*;Applikation von Medikamenten, Liste 8: Nivolumab, parenteral
ZE2021-162;Gabe von Carfilzomib, parenteral;6-008.9*;Applikation von Medikamenten, Liste 8: Carfilzomib, parenteral
ZE2021-163;Gabe von Macitentan, oral;6-007.h*;Applikation von Medikamenten, Liste 7: Macitentan, oral
ZE2021-164;Gabe von Riociguat, oral;6-008.0*;Applikation von Medikamenten, Liste 8: Riociguat, oral
ZE2021-165;Gabe von Nusinersen, intrathekal;6-00a.d;Applikation von Medikamenten, Liste 10: Nusinersen, intrathekal
ZE2021-166;Gabe von Isavuconazol, parenteral;6-008.g*;Applikation von Medikamenten, Liste 8: Isavuconazol, parenteral
ZE2021-167;Gabe von Isavuconazol, oral;6-008.h*;Applikation von Medikamenten, Liste 8: Isavuconazol, oral
ZE2021-168;Gabe von Daratumumab, parenteral;6-009.a*;Applikation von Medikamenten, Liste 9: Daratumumab, parenteral
ZE2021-169;Gabe von Liposomalem Irinotecan, parenteral;6-009.e*;Applikation von Medikamenten, Liste 9: Liposomales Irinotecan, parenteral
ZE2021-170;Gabe von Bevacizumab, parenteral;6-002.9*;Applikation von Medikamenten, Liste 2: Bevacizumab, parenteral
